base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
USDC,DOGE,LTC,USDC/DOGE,DOGE/LTC,LTC/USDC,12,11
BNB,SOL,TRX,BNB/SOL,SOL/TRX,TRX/BNB,7,11
LTC,BTC,BNB,LTC/BTC,BTC/BNB,BNB/LTC,9,15
DOT,USDT,BNB,DOT/USDT,USDT/BNB,BNB/DOT,7,15
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,8,16
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,10,14
USDC,ADA,TRX,USDC/ADA,ADA/TRX,TRX/USDC,5,10
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,5,17
LINK,BTC,USDT,LINK/BTC,BTC/USDT,USDT/LINK,7,9
LTC,TON,ETH,LTC/TON,TON/ETH,ETH/LTC,8,11
TON,AVAX,ETH,TON/AVAX,AVAX/ETH,ETH/TON,10,17
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,12,13
ETH,USDC,DOGE,ETH/USDC,USDC/DOGE,DOGE/ETH,9,11
LINK,USDT,BNB,LINK/USDT,USDT/BNB,BNB/LINK,10,15
ADA,AVAX,LINK,ADA/AVAX,AVAX/LINK,LINK/ADA,5,13
ETH,USDC,BNB,ETH/USDC,USDC/BNB,BNB/ETH,5,14
XRP,LTC,BTC,XRP/LTC,LTC/BTC,BTC/XRP,11,9
AVAX,USDT,BNB,AVAX/USDT,USDT/BNB,BNB/AVAX,8,10
XRP,DOGE,DOT,XRP/DOGE,DOGE/DOT,DOT/XRP,10,9
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,12,9
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,9,11
XRP,TRX,TON,XRP/TRX,TRX/TON,TON/XRP,7,17
TON,AVAX,USDT,TON/AVAX,AVAX/USDT,USDT/TON,9,16
USDT,BNB,DOGE,USDT/BNB,BNB/DOGE,DOGE/USDT,5,15
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,8,17
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,8,11
TON,BTC,USDT,TON/BTC,BTC/USDT,USDT/TON,12,8
USDT,XRP,TRX,USDT/XRP,XRP/TRX,TRX/USDT,5,11
BTC,USDT,ADA,BTC/USDT,USDT/ADA,ADA/BTC,9,14
LINK,BNB,ADA,LINK/BNB,BNB/ADA,ADA/LINK,8,17
SOL,TRX,AVAX,SOL/TRX,TRX/AVAX,AVAX/SOL,7,15
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,6,13
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,5,9
TRX,LINK,USDC,TRX/LINK,LINK/USDC,USDC/TRX,7,13
SOL,ADA,AVAX,SOL/ADA,ADA/AVAX,AVAX/SOL,12,10
BNB,SOL,LTC,BNB/SOL,SOL/LTC,LTC/BNB,8,11
BNB,SOL,TRX,BNB/SOL,SOL/TRX,TRX/BNB,5,13
USDT,XRP,TON,USDT/XRP,XRP/TON,TON/USDT,10,16
BNB,TRX,LTC,BNB/TRX,TRX/LTC,LTC/BNB,9,13
TRX,LINK,BNB,TRX/LINK,LINK/BNB,BNB/TRX,8,10
ETH,USDT,ADA,ETH/USDT,USDT/ADA,ADA/ETH,12,16
SOL,DOGE,TRX,SOL/DOGE,DOGE/TRX,TRX/SOL,8,13
DOGE,LTC,TON,DOGE/LTC,LTC/TON,TON/DOGE,12,10
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,11,10
DOGE,TRX,LINK,DOGE/TRX,TRX/LINK,LINK/DOGE,11,16
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,5,10
LINK,USDC,XRP,LINK/USDC,USDC/XRP,XRP/LINK,8,8
TON,LINK,USDC,TON/LINK,LINK/USDC,USDC/TON,7,15
SOL,TRX,AVAX,SOL/TRX,TRX/AVAX,AVAX/SOL,11,16
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,9,12
