base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
DOT,BTC,USDC,DOT/BTC,BTC/USDC,USDC/DOT,8,17
LINK,ETH,USDC,LINK/ETH,ETH/USDC,USDC/LINK,9,8
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,8,8
AVAX,LINK,USDC,AVAX/LINK,LINK/USDC,USDC/AVAX,5,13
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,7,11
AVAX,DOT,USDC,AVAX/DOT,DOT/USDC,USDC/AVAX,10,10
LINK,BNB,ADA,LINK/BNB,BNB/ADA,ADA/LINK,5,16
ADA,AVAX,USDT,ADA/AVAX,AVAX/USDT,USDT/ADA,7,12
XRP,LTC,TON,XRP/LTC,LTC/TON,TON/XRP,8,15
ETH,SOL,DOGE,ETH/SOL,SOL/DOGE,DOGE/ETH,10,9
BTC,USDT,ADA,BTC/USDT,USDT/ADA,ADA/BTC,8,17
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,7,14
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,8,11
LINK,USDC,SOL,LINK/USDC,USDC/SOL,SOL/LINK,10,10
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,8,12
XRP,TRX,TON,XRP/TRX,TRX/TON,TON/XRP,10,16
ADA,AVAX,LINK,ADA/AVAX,AVAX/LINK,LINK/ADA,10,15
USDC,SOL,LTC,USDC/SOL,SOL/LTC,LTC/USDC,7,8
XRP,TON,LINK,XRP/TON,TON/LINK,LINK/XRP,12,14
TRX,TON,DOT,TRX/TON,TON/DOT,DOT/TRX,6,17
TRX,LINK,USDC,TRX/LINK,LINK/USDC,USDC/TRX,12,15
ADA,TRX,TON,ADA/TRX,TRX/TON,TON/ADA,6,15
BTC,SOL,DOGE,BTC/SOL,SOL/DOGE,DOGE/BTC,10,14
DOT,ETH,XRP,DOT/ETH,ETH/XRP,XRP/DOT,9,8
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,12,16
ETH,XRP,TRX,ETH/XRP,XRP/TRX,TRX/ETH,6,10
ETH,USDC,XRP,ETH/USDC,USDC/XRP,XRP/ETH,5,8
LTC,DOT,ETH,LTC/DOT,DOT/ETH,ETH/LTC,9,8
LTC,LINK,BNB,LTC/LINK,LINK/BNB,BNB/LTC,8,9
LINK,BNB,TRX,LINK/BNB,BNB/TRX,TRX/LINK,7,15
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,8,16
DOGE,TRX,LTC,DOGE/TRX,TRX/LTC,LTC/DOGE,11,16
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,8,11
USDC,DOGE,TON,USDC/DOGE,DOGE/TON,TON/USDC,5,13
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,11,11
XRP,LTC,DOT,XRP/LTC,LTC/DOT,DOT/XRP,11,14
DOT,LINK,BNB,DOT/LINK,LINK/BNB,BNB/DOT,5,8
USDC,XRP,LTC,USDC/XRP,XRP/LTC,LTC/USDC,10,13
ETH,SOL,XRP,ETH/SOL,SOL/XRP,XRP/ETH,8,15
TRX,DOT,USDC,TRX/DOT,DOT/USDC,USDC/TRX,6,10
XRP,LTC,DOT,XRP/LTC,LTC/DOT,DOT/XRP,7,13
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,7,9
LINK,BNB,TRX,LINK/BNB,BNB/TRX,TRX/LINK,12,15
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,9,15
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,8,9
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,9,12
USDT,SOL,ADA,USDT/SOL,SOL/ADA,ADA/USDT,7,15
XRP,TRX,AVAX,XRP/TRX,TRX/AVAX,AVAX/XRP,7,16
ETH,SOL,XRP,ETH/SOL,SOL/XRP,XRP/ETH,10,16
ETH,SOL,TRX,ETH/SOL,SOL/TRX,TRX/ETH,12,16
