base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
LTC,LINK,USDT,LTC/LINK,LINK/USDT,USDT/LTC,11,12
ETH,USDC,BNB,ETH/USDC,USDC/BNB,BNB/ETH,12,11
LTC,TON,AVAX,LTC/TON,TON/AVAX,AVAX/LTC,10,8
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,11,9
DOGE,TON,LINK,DOGE/TON,TON/LINK,LINK/DOGE,7,13
LINK,USDC,DOGE,LINK/USDC,USDC/DOGE,DOGE/LINK,5,17
TRX,LTC,DOT,TRX/LTC,LTC/DOT,DOT/TRX,9,10
DOT,USDC,BNB,DOT/USDC,USDC/BNB,BNB/DOT,8,10
ETH,BNB,TRX,ETH/BNB,BNB/TRX,TRX/ETH,10,10
DOGE,TON,BTC,DOGE/TON,TON/BTC,BTC/DOGE,10,15
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,9,9
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,5,15
SOL,TRX,AVAX,SOL/TRX,TRX/AVAX,AVAX/SOL,10,9
LTC,BTC,BNB,LTC/BTC,BTC/BNB,BNB/LTC,8,15
DOT,BTC,ETH,DOT/BTC,BTC/ETH,ETH/DOT,5,17
AVAX,BTC,USDT,AVAX/BTC,BTC/USDT,USDT/AVAX,9,15
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,12,14
TRX,TON,AVAX,TRX/TON,TON/AVAX,AVAX/TRX,10,15
ETH,SOL,ADA,ETH/SOL,SOL/ADA,ADA/ETH,8,8
ADA,AVAX,LINK,ADA/AVAX,AVAX/LINK,LINK/ADA,6,16
USDC,DOGE,TON,USDC/DOGE,DOGE/TON,TON/USDC,6,15
USDT,SOL,LTC,USDT/SOL,SOL/LTC,LTC/USDT,6,8
USDT,USDC,BNB,USDT/USDC,USDC/BNB,BNB/USDT,5,15
LTC,LINK,USDT,LTC/LINK,LINK/USDT,USDT/LTC,6,17
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,9,8
TON,LINK,USDT,TON/LINK,LINK/USDT,USDT/TON,5,15
LINK,USDT,USDC,LINK/USDT,USDT/USDC,USDC/LINK,7,13
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,9,17
XRP,DOGE,DOT,XRP/DOGE,DOGE/DOT,DOT/XRP,8,15
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,5,8
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,11,10
USDC,DOGE,TRX,USDC/DOGE,DOGE/TRX,TRX/USDC,10,11
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,5,13
BTC,SOL,DOGE,BTC/SOL,SOL/DOGE,DOGE/BTC,7,17
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,8,10
TRX,DOT,USDT,TRX/DOT,DOT/USDT,USDT/TRX,5,15
USDT,SOL,LTC,USDT/SOL,SOL/LTC,LTC/USDT,12,15
ETH,USDC,SOL,ETH/USDC,USDC/SOL,SOL/ETH,8,13
USDC,ADA,DOGE,USDC/ADA,ADA/DOGE,DOGE/USDC,11,17
TRX,DOT,ETH,TRX/DOT,DOT/ETH,ETH/TRX,10,11
BTC,BNB,SOL,BTC/BNB,BNB/SOL,SOL/BTC,6,11
LINK,ETH,BNB,LINK/ETH,ETH/BNB,BNB/LINK,9,10
LINK,USDT,BNB,LINK/USDT,USDT/BNB,BNB/LINK,10,9
TON,BTC,USDT,TON/BTC,BTC/USDT,USDT/TON,6,16
AVAX,LINK,ETH,AVAX/LINK,LINK/ETH,ETH/AVAX,7,9
AVAX,LINK,USDC,AVAX/LINK,LINK/USDC,USDC/AVAX,5,9
TON,DOT,USDT,TON/DOT,DOT/USDT,USDT/TON,7,9
ETH,USDT,BNB,ETH/USDT,USDT/BNB,BNB/ETH,7,14
ADA,TON,BTC,ADA/TON,TON/BTC,BTC/ADA,10,13
DOGE,AVAX,LINK,DOGE/AVAX,AVAX/LINK,LINK/DOGE,6,11
