base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
AVAX,DOT,USDC,AVAX/DOT,DOT/USDC,USDC/AVAX,6,12
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,7,12
DOT,ETH,USDC,DOT/ETH,ETH/USDC,USDC/DOT,12,17
TON,BTC,USDC,TON/BTC,BTC/USDC,USDC/TON,12,13
TON,BTC,USDT,TON/BTC,BTC/USDT,USDT/TON,5,12
USDT,XRP,TRX,USDT/XRP,XRP/TRX,TRX/USDT,9,12
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,6,11
BNB,DOGE,TRX,BNB/DOGE,DOGE/TRX,TRX/BNB,9,17
BTC,BNB,TRX,BTC/BNB,BNB/TRX,TRX/BTC,9,13
LTC,DOT,USDT,LTC/DOT,DOT/USDT,USDT/LTC,7,13
DOGE,TRX,LINK,DOGE/TRX,TRX/LINK,LINK/DOGE,10,11
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,10,12
AVAX,ETH,USDC,AVAX/ETH,ETH/USDC,USDC/AVAX,11,11
USDC,ADA,TRX,USDC/ADA,ADA/TRX,TRX/USDC,12,8
SOL,ADA,TRX,SOL/ADA,ADA/TRX,TRX/SOL,6,16
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,7,11
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,8,12
ADA,LTC,AVAX,ADA/LTC,LTC/AVAX,AVAX/ADA,5,14
LTC,BTC,USDT,LTC/BTC,BTC/USDT,USDT/LTC,6,14
USDC,BNB,ADA,USDC/BNB,BNB/ADA,ADA/USDC,5,10
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,7,17
ETH,BNB,XRP,ETH/BNB,BNB/XRP,XRP/ETH,5,12
USDT,XRP,LTC,USDT/XRP,XRP/LTC,LTC/USDT,11,14
ADA,TON,ETH,ADA/TON,TON/ETH,ETH/ADA,7,17
ETH,USDT,USDC,ETH/USDT,USDT/USDC,USDC/ETH,12,15
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,10,17
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,9,11
SOL,LTC,BTC,SOL/LTC,LTC/BTC,BTC/SOL,8,15
USDT,BNB,XRP,USDT/BNB,BNB/XRP,XRP/USDT,10,13
LTC,DOT,LINK,LTC/DOT,DOT/LINK,LINK/LTC,5,11
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,11,14
USDT,XRP,LTC,USDT/XRP,XRP/LTC,LTC/USDT,6,12
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,11,16
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,12,12
USDT,XRP,DOGE,USDT/XRP,XRP/DOGE,DOGE/USDT,7,11
XRP,ADA,DOGE,XRP/ADA,ADA/DOGE,DOGE/XRP,6,10
USDC,SOL,XRP,USDC/SOL,SOL/XRP,XRP/USDC,8,12
LTC,DOT,ETH,LTC/DOT,DOT/ETH,ETH/LTC,8,10
TRX,LTC,BTC,TRX/LTC,LTC/BTC,BTC/TRX,9,13
LTC,BTC,USDT,LTC/BTC,BTC/USDT,USDT/LTC,10,15
TON,AVAX,LINK,TON/AVAX,AVAX/LINK,LINK/TON,7,11
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,6,12
BTC,ETH,USDT,BTC/ETH,ETH/USDT,USDT/BTC,9,9
DOGE,TRX,DOT,DOGE/TRX,TRX/DOT,DOT/DOGE,12,10
ADA,AVAX,BTC,ADA/AVAX,AVAX/BTC,BTC/ADA,8,12
DOGE,AVAX,BTC,DOGE/AVAX,AVAX/BTC,BTC/DOGE,7,15
BTC,SOL,XRP,BTC/SOL,SOL/XRP,XRP/BTC,5,8
LINK,USDT,ADA,LINK/USDT,USDT/ADA,ADA/LINK,7,12
BTC,USDC,SOL,BTC/USDC,USDC/SOL,SOL/BTC,6,16
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,6,14
