base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
BTC,BNB,DOGE,BTC/BNB,BNB/DOGE,DOGE/BTC,7,15
TRX,LINK,BTC,TRX/LINK,LINK/BTC,BTC/TRX,12,9
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,12,13
BNB,TRX,AVAX,BNB/TRX,TRX/AVAX,AVAX/BNB,5,9
DOGE,LTC,DOT,DOGE/LTC,LTC/DOT,DOT/DOGE,7,17
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,8,8
TON,BTC,BNB,TON/BTC,BTC/BNB,BNB/TON,6,12
USDC,SOL,LTC,USDC/SOL,SOL/LTC,LTC/USDC,5,17
SOL,ADA,LTC,SOL/ADA,ADA/LTC,LTC/SOL,6,13
AVAX,BTC,USDC,AVAX/BTC,BTC/USDC,USDC/AVAX,7,8
BTC,USDT,ADA,BTC/USDT,USDT/ADA,ADA/BTC,9,14
BTC,SOL,LTC,BTC/SOL,SOL/LTC,LTC/BTC,8,12
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,10,10
TON,DOT,ETH,TON/DOT,DOT/ETH,ETH/TON,6,17
ETH,USDC,SOL,ETH/USDC,USDC/SOL,SOL/ETH,10,11
ADA,TON,DOT,ADA/TON,TON/DOT,DOT/ADA,7,12
XRP,DOGE,TRX,XRP/DOGE,DOGE/TRX,TRX/XRP,10,15
DOT,ETH,USDC,DOT/ETH,ETH/USDC,USDC/DOT,7,9
LINK,ETH,BNB,LINK/ETH,ETH/BNB,BNB/LINK,12,12
USDT,XRP,LTC,USDT/XRP,XRP/LTC,LTC/USDT,12,10
ETH,BNB,ADA,ETH/BNB,BNB/ADA,ADA/ETH,11,12
TRX,LINK,BTC,TRX/LINK,LINK/BTC,BTC/TRX,6,12
SOL,DOGE,DOT,SOL/DOGE,DOGE/DOT,DOT/SOL,7,11
ETH,BNB,TRX,ETH/BNB,BNB/TRX,TRX/ETH,5,12
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,7,10
ADA,AVAX,ETH,ADA/AVAX,AVAX/ETH,ETH/ADA,5,11
USDT,BNB,ADA,USDT/BNB,BNB/ADA,ADA/USDT,7,11
SOL,ADA,TON,SOL/ADA,ADA/TON,TON/SOL,7,9
BTC,USDT,ADA,BTC/USDT,USDT/ADA,ADA/BTC,9,15
BNB,DOGE,TRX,BNB/DOGE,DOGE/TRX,TRX/BNB,9,17
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,12,17
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,11,17
BTC,ETH,SOL,BTC/ETH,ETH/SOL,SOL/BTC,9,16
SOL,XRP,TON,SOL/XRP,XRP/TON,TON/SOL,9,11
TON,AVAX,LINK,TON/AVAX,AVAX/LINK,LINK/TON,5,11
LTC,TON,LINK,LTC/TON,TON/LINK,LINK/LTC,10,12
ETH,XRP,TON,ETH/XRP,XRP/TON,TON/ETH,8,10
ETH,XRP,ADA,ETH/XRP,XRP/ADA,ADA/ETH,10,8
AVAX,DOT,LINK,AVAX/DOT,DOT/LINK,LINK/AVAX,5,9
ETH,USDT,SOL,ETH/USDT,USDT/SOL,SOL/ETH,8,11
USDT,ADA,DOGE,USDT/ADA,ADA/DOGE,DOGE/USDT,12,14
USDT,BNB,DOGE,USDT/BNB,BNB/DOGE,DOGE/USDT,12,9
USDT,XRP,TON,USDT/XRP,XRP/TON,TON/USDT,9,17
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,11,16
TON,BTC,ETH,TON/BTC,BTC/ETH,ETH/TON,9,10
USDC,ADA,TRX,USDC/ADA,ADA/TRX,TRX/USDC,11,12
TRX,TON,BTC,TRX/TON,TON/BTC,BTC/TRX,7,13
ETH,BNB,DOGE,ETH/BNB,BNB/DOGE,DOGE/ETH,8,14
AVAX,DOT,USDT,AVAX/DOT,DOT/USDT,USDT/AVAX,11,15
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,5,15
