base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
LINK,USDT,SOL,LINK/USDT,USDT/SOL,SOL/LINK,11,13
XRP,TON,LINK,XRP/TON,TON/LINK,LINK/XRP,10,14
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,12,15
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,7,17
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,10,10
BTC,SOL,LTC,BTC/SOL,SOL/LTC,LTC/BTC,5,8
LINK,BTC,USDC,LINK/BTC,BTC/USDC,USDC/LINK,10,17
TRX,DOT,USDC,TRX/DOT,DOT/USDC,USDC/TRX,10,14
ETH,XRP,TRX,ETH/XRP,XRP/TRX,TRX/ETH,12,9
TRX,DOT,BTC,TRX/DOT,DOT/BTC,BTC/TRX,11,16
AVAX,DOT,USDT,AVAX/DOT,DOT/USDT,USDT/AVAX,7,16
ETH,USDC,DOGE,ETH/USDC,USDC/DOGE,DOGE/ETH,6,17
BNB,SOL,DOGE,BNB/SOL,SOL/DOGE,DOGE/BNB,11,17
SOL,DOGE,TRX,SOL/DOGE,DOGE/TRX,TRX/SOL,5,14
DOT,ETH,SOL,DOT/ETH,ETH/SOL,SOL/DOT,10,16
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,5,17
LINK,BTC,USDC,LINK/BTC,BTC/USDC,USDC/LINK,7,15
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,12,10
TRX,AVAX,BTC,TRX/AVAX,AVAX/BTC,BTC/TRX,8,14
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,12,9
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,7,14
LINK,BTC,ETH,LINK/BTC,BTC/ETH,ETH/LINK,9,16
AVAX,ETH,USDT,AVAX/ETH,ETH/USDT,USDT/AVAX,12,14
TRX,TON,ETH,TRX/TON,TON/ETH,ETH/TRX,10,10
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,7,10
LTC,BTC,USDT,LTC/BTC,BTC/USDT,USDT/LTC,6,11
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,10,11
BTC,BNB,XRP,BTC/BNB,BNB/XRP,XRP/BTC,7,12
USDC,SOL,LTC,USDC/SOL,SOL/LTC,LTC/USDC,5,16
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,10,13
BTC,USDC,ADA,BTC/USDC,USDC/ADA,ADA/BTC,6,10
BNB,ADA,LTC,BNB/ADA,ADA/LTC,LTC/BNB,6,8
AVAX,USDT,XRP,AVAX/USDT,USDT/XRP,XRP/AVAX,9,13
ETH,USDC,DOGE,ETH/USDC,USDC/DOGE,DOGE/ETH,7,12
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,8,8
DOGE,TRX,LINK,DOGE/TRX,TRX/LINK,LINK/DOGE,9,10
XRP,LTC,AVAX,XRP/LTC,LTC/AVAX,AVAX/XRP,8,15
TON,LINK,BNB,TON/LINK,LINK/BNB,BNB/TON,5,13
USDC,SOL,ADA,USDC/SOL,SOL/ADA,ADA/USDC,12,14
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,8,11
ETH,SOL,TRX,ETH/SOL,SOL/TRX,TRX/ETH,8,14
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,11,9
ADA,DOGE,LTC,ADA/DOGE,DOGE/LTC,LTC/ADA,12,16
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,7,13
BNB,TRX,LINK,BNB/TRX,TRX/LINK,LINK/BNB,9,12
LTC,AVAX,USDT,LTC/AVAX,AVAX/USDT,USDT/LTC,9,11
LTC,DOT,ETH,LTC/DOT,DOT/ETH,ETH/LTC,5,8
AVAX,DOT,USDT,AVAX/DOT,DOT/USDT,USDT/AVAX,11,16
XRP,ADA,AVAX,XRP/ADA,ADA/AVAX,AVAX/XRP,8,15
SOL,TRX,LTC,SOL/TRX,TRX/LTC,LTC/SOL,7,8
