base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
TRX,LINK,ETH,TRX/LINK,LINK/ETH,ETH/TRX,9,10
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,11,14
USDC,ADA,TRX,USDC/ADA,ADA/TRX,TRX/USDC,7,13
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,10,14
ETH,USDC,BNB,ETH/USDC,USDC/BNB,BNB/ETH,5,16
BNB,ADA,DOGE,BNB/ADA,ADA/DOGE,DOGE/BNB,10,15
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,7,8
BNB,XRP,TRX,BNB/XRP,XRP/TRX,TRX/BNB,11,9
ETH,USDT,BNB,ETH/USDT,USDT/BNB,BNB/ETH,11,10
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,7,8
DOGE,LTC,DOT,DOGE/LTC,LTC/DOT,DOT/DOGE,7,11
LTC,DOT,USDC,LTC/DOT,DOT/USDC,USDC/LTC,8,17
XRP,ADA,DOGE,XRP/ADA,ADA/DOGE,DOGE/XRP,6,15
AVAX,USDT,SOL,AVAX/USDT,USDT/SOL,SOL/AVAX,9,13
AVAX,ETH,XRP,AVAX/ETH,ETH/XRP,XRP/AVAX,8,13
XRP,LTC,BTC,XRP/LTC,LTC/BTC,BTC/XRP,11,16
DOGE,DOT,USDT,DOGE/DOT,DOT/USDT,USDT/DOGE,7,14
LINK,BTC,USDT,LINK/BTC,BTC/USDT,USDT/LINK,12,15
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,11,8
LINK,BNB,TRX,LINK/BNB,BNB/TRX,TRX/LINK,10,16
TON,BTC,ETH,TON/BTC,BTC/ETH,ETH/TON,11,10
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,8,9
ETH,BNB,XRP,ETH/BNB,BNB/XRP,XRP/ETH,5,17
ETH,SOL,DOGE,ETH/SOL,SOL/DOGE,DOGE/ETH,7,10
TON,LINK,USDC,TON/LINK,LINK/USDC,USDC/TON,5,14
DOT,BTC,USDT,DOT/BTC,BTC/USDT,USDT/DOT,12,8
USDT,SOL,XRP,USDT/SOL,SOL/XRP,XRP/USDT,7,8
TON,ETH,USDC,TON/ETH,ETH/USDC,USDC/TON,8,8
XRP,LTC,BTC,XRP/LTC,LTC/BTC,BTC/XRP,10,10
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,7,9
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,11,8
DOT,BTC,ETH,DOT/BTC,BTC/ETH,ETH/DOT,5,14
DOGE,DOT,USDC,DOGE/DOT,DOT/USDC,USDC/DOGE,7,15
AVAX,DOT,BTC,AVAX/DOT,DOT/BTC,BTC/AVAX,9,15
USDC,DOGE,TON,USDC/DOGE,DOGE/TON,TON/USDC,7,15
BNB,ADA,TRX,BNB/ADA,ADA/TRX,TRX/BNB,11,14
XRP,ADA,DOGE,XRP/ADA,ADA/DOGE,DOGE/XRP,12,17
USDT,BNB,XRP,USDT/BNB,BNB/XRP,XRP/USDT,12,13
TRX,AVAX,BTC,TRX/AVAX,AVAX/BTC,BTC/TRX,10,17
ADA,LTC,DOT,ADA/LTC,LTC/DOT,DOT/ADA,12,10
BNB,XRP,TRX,BNB/XRP,XRP/TRX,TRX/BNB,5,9
BNB,DOGE,TON,BNB/DOGE,DOGE/TON,TON/BNB,12,13
LINK,BNB,TRX,LINK/BNB,BNB/TRX,TRX/LINK,7,14
USDT,SOL,ADA,USDT/SOL,SOL/ADA,ADA/USDT,11,10
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,12,13
ETH,XRP,ADA,ETH/XRP,XRP/ADA,ADA/ETH,8,10
ETH,SOL,TRX,ETH/SOL,SOL/TRX,TRX/ETH,5,14
LTC,TON,BTC,LTC/TON,TON/BTC,BTC/LTC,9,13
USDT,SOL,XRP,USDT/SOL,SOL/XRP,XRP/USDT,9,10
SOL,TRX,LTC,SOL/TRX,TRX/LTC,LTC/SOL,6,8
