base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
DOGE,DOT,ETH,DOGE/DOT,DOT/ETH,ETH/DOGE,7,12
AVAX,USDT,BNB,AVAX/USDT,USDT/BNB,BNB/AVAX,7,13
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,5,10
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,6,8
LINK,BTC,USDT,LINK/BTC,BTC/USDT,USDT/LINK,10,10
ADA,TON,DOT,ADA/TON,TON/DOT,DOT/ADA,10,17
SOL,DOGE,TRX,SOL/DOGE,DOGE/TRX,TRX/SOL,6,12
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,8,10
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,6,14
DOT,USDC,XRP,DOT/USDC,USDC/XRP,XRP/DOT,5,10
XRP,DOGE,TRX,XRP/DOGE,DOGE/TRX,TRX/XRP,6,13
AVAX,LINK,BNB,AVAX/LINK,LINK/BNB,BNB/AVAX,8,17
DOT,LINK,USDC,DOT/LINK,LINK/USDC,USDC/DOT,9,11
LTC,BTC,BNB,LTC/BTC,BTC/BNB,BNB/LTC,9,15
DOT,ETH,USDT,DOT/ETH,ETH/USDT,USDT/DOT,11,8
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,6,14
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,7,14
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,8,11
XRP,ADA,DOGE,XRP/ADA,ADA/DOGE,DOGE/XRP,10,14
ADA,LTC,LINK,ADA/LTC,LTC/LINK,LINK/ADA,8,15
BNB,XRP,TON,BNB/XRP,XRP/TON,TON/BNB,6,16
XRP,TON,LINK,XRP/TON,TON/LINK,LINK/XRP,8,15
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,12,13
DOGE,TON,AVAX,DOGE/TON,TON/AVAX,AVAX/DOGE,7,17
SOL,DOGE,LTC,SOL/DOGE,DOGE/LTC,LTC/SOL,11,9
BNB,XRP,TRX,BNB/XRP,XRP/TRX,TRX/BNB,6,12
TON,AVAX,USDT,TON/AVAX,AVAX/USDT,USDT/TON,6,10
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,7,9
AVAX,BTC,BNB,AVAX/BTC,BTC/BNB,BNB/AVAX,7,14
USDT,XRP,ADA,USDT/XRP,XRP/ADA,ADA/USDT,11,17
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,8,17
LTC,DOT,USDC,LTC/DOT,DOT/USDC,USDC/LTC,9,16
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,7,13
AVAX,BTC,USDT,AVAX/BTC,BTC/USDT,USDT/AVAX,8,16
SOL,ADA,AVAX,SOL/ADA,ADA/AVAX,AVAX/SOL,8,13
DOGE,TON,DOT,DOGE/TON,TON/DOT,DOT/DOGE,9,13
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,7,9
USDT,ADA,LTC,USDT/ADA,ADA/LTC,LTC/USDT,10,17
ADA,TRX,DOT,ADA/TRX,TRX/DOT,DOT/ADA,6,9
BNB,TRX,TON,BNB/TRX,TRX/TON,TON/BNB,6,9
USDC,SOL,ADA,USDC/SOL,SOL/ADA,ADA/USDC,5,17
ADA,DOGE,DOT,ADA/DOGE,DOGE/DOT,DOT/ADA,12,13
BNB,DOGE,DOT,BNB/DOGE,DOGE/DOT,DOT/BNB,8,15
AVAX,BTC,SOL,AVAX/BTC,BTC/SOL,SOL/AVAX,5,10
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,5,17
SOL,LTC,TON,SOL/LTC,LTC/TON,TON/SOL,7,13
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,7,13
BNB,DOGE,TRX,BNB/DOGE,DOGE/TRX,TRX/BNB,5,13
LTC,AVAX,BTC,LTC/AVAX,AVAX/BTC,BTC/LTC,8,16
AVAX,BTC,USDT,AVAX/BTC,BTC/USDT,USDT/AVAX,11,14
