base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
TRX,TON,DOT,TRX/TON,TON/DOT,DOT/TRX,6,13
BNB,XRP,DOGE,BNB/XRP,XRP/DOGE,DOGE/BNB,11,16
LINK,BTC,SOL,LINK/BTC,BTC/SOL,SOL/LINK,12,16
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,9,11
AVAX,BTC,SOL,AVAX/BTC,BTC/SOL,SOL/AVAX,7,8
LTC,LINK,USDT,LTC/LINK,LINK/USDT,USDT/LTC,10,9
DOGE,LTC,BTC,DOGE/LTC,LTC/BTC,BTC/DOGE,12,16
DOGE,AVAX,USDT,DOGE/AVAX,AVAX/USDT,USDT/DOGE,11,11
USDT,XRP,ADA,USDT/XRP,XRP/ADA,ADA/USDT,11,13
BNB,ADA,AVAX,BNB/ADA,ADA/AVAX,AVAX/BNB,6,10
LTC,DOT,LINK,LTC/DOT,DOT/LINK,LINK/LTC,7,16
AVAX,ETH,XRP,AVAX/ETH,ETH/XRP,XRP/AVAX,10,10
ETH,SOL,ADA,ETH/SOL,SOL/ADA,ADA/ETH,11,17
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,9,14
SOL,ADA,TON,SOL/ADA,ADA/TON,TON/SOL,11,16
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,10,13
LTC,DOT,BTC,LTC/DOT,DOT/BTC,BTC/LTC,9,17
XRP,TON,DOT,XRP/TON,TON/DOT,DOT/XRP,5,17
DOT,ETH,USDT,DOT/ETH,ETH/USDT,USDT/DOT,9,9
ETH,XRP,TON,ETH/XRP,XRP/TON,TON/ETH,9,11
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,11,15
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,5,12
ETH,USDC,XRP,ETH/USDC,USDC/XRP,XRP/ETH,8,10
BNB,SOL,TRX,BNB/SOL,SOL/TRX,TRX/BNB,7,16
TRX,AVAX,BTC,TRX/AVAX,AVAX/BTC,BTC/TRX,10,8
BTC,USDT,USDC,BTC/USDT,USDT/USDC,USDC/BTC,11,12
ADA,LTC,AVAX,ADA/LTC,LTC/AVAX,AVAX/ADA,11,15
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,5,11
SOL,DOGE,TON,SOL/DOGE,DOGE/TON,TON/SOL,8,13
DOGE,TRX,AVAX,DOGE/TRX,TRX/AVAX,AVAX/DOGE,8,8
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,10,17
DOGE,AVAX,USDT,DOGE/AVAX,AVAX/USDT,USDT/DOGE,6,9
LINK,ETH,USDC,LINK/ETH,ETH/USDC,USDC/LINK,11,12
ETH,SOL,XRP,ETH/SOL,SOL/XRP,XRP/ETH,6,16
ETH,SOL,XRP,ETH/SOL,SOL/XRP,XRP/ETH,10,9
TRX,TON,AVAX,TRX/TON,TON/AVAX,AVAX/TRX,7,13
TON,AVAX,LINK,TON/AVAX,AVAX/LINK,LINK/TON,12,14
SOL,DOGE,TRX,SOL/DOGE,DOGE/TRX,TRX/SOL,5,15
LTC,AVAX,BTC,LTC/AVAX,AVAX/BTC,BTC/LTC,12,10
DOGE,DOT,ETH,DOGE/DOT,DOT/ETH,ETH/DOGE,6,17
XRP,TON,ETH,XRP/TON,TON/ETH,ETH/XRP,7,15
USDT,XRP,DOGE,USDT/XRP,XRP/DOGE,DOGE/USDT,8,11
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,7,15
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,12,8
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,9,13
DOGE,LTC,TON,DOGE/LTC,LTC/TON,TON/DOGE,6,17
TRX,LTC,AVAX,TRX/LTC,LTC/AVAX,AVAX/TRX,5,15
LTC,LINK,USDC,LTC/LINK,LINK/USDC,USDC/LTC,11,8
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,11,14
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,8,13
