base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
BNB,XRP,ADA,BNB/XRP,XRP/ADA,ADA/BNB,10,8
USDT,XRP,ADA,USDT/XRP,XRP/ADA,ADA/USDT,9,16
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,11,17
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,12,17
AVAX,USDT,SOL,AVAX/USDT,USDT/SOL,SOL/AVAX,12,13
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,10,11
DOGE,DOT,USDT,DOGE/DOT,DOT/USDT,USDT/DOGE,10,12
AVAX,BTC,BNB,AVAX/BTC,BTC/BNB,BNB/AVAX,7,12
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,7,14
USDC,BNB,SOL,USDC/BNB,BNB/SOL,SOL/USDC,8,13
XRP,ADA,LTC,XRP/ADA,ADA/LTC,LTC/XRP,5,11
ADA,TON,ETH,ADA/TON,TON/ETH,ETH/ADA,8,11
AVAX,USDT,XRP,AVAX/USDT,USDT/XRP,XRP/AVAX,9,9
LTC,TON,ETH,LTC/TON,TON/ETH,ETH/LTC,7,11
XRP,TON,DOT,XRP/TON,TON/DOT,DOT/XRP,12,12
TRX,LINK,USDC,TRX/LINK,LINK/USDC,USDC/TRX,11,9
TRX,TON,BTC,TRX/TON,TON/BTC,BTC/TRX,12,15
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,10,11
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,10,15
ADA,TON,DOT,ADA/TON,TON/DOT,DOT/ADA,6,14
ETH,XRP,ADA,ETH/XRP,XRP/ADA,ADA/ETH,8,14
ADA,LTC,LINK,ADA/LTC,LTC/LINK,LINK/ADA,8,12
DOGE,TON,ETH,DOGE/TON,TON/ETH,ETH/DOGE,10,8
XRP,TON,ETH,XRP/TON,TON/ETH,ETH/XRP,12,16
USDC,XRP,TRX,USDC/XRP,XRP/TRX,TRX/USDC,7,9
SOL,XRP,TRX,SOL/XRP,XRP/TRX,TRX/SOL,7,13
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,5,14
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,10,15
ETH,USDC,BNB,ETH/USDC,USDC/BNB,BNB/ETH,11,9
USDC,SOL,DOGE,USDC/SOL,SOL/DOGE,DOGE/USDC,11,9
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,5,17
TRX,LINK,USDC,TRX/LINK,LINK/USDC,USDC/TRX,12,17
LTC,LINK,ETH,LTC/LINK,LINK/ETH,ETH/LTC,9,13
ETH,BNB,DOGE,ETH/BNB,BNB/DOGE,DOGE/ETH,6,16
BNB,XRP,DOGE,BNB/XRP,XRP/DOGE,DOGE/BNB,7,11
DOT,LINK,BNB,DOT/LINK,LINK/BNB,BNB/DOT,5,11
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,10,9
AVAX,ETH,SOL,AVAX/ETH,ETH/SOL,SOL/AVAX,5,11
SOL,LTC,AVAX,SOL/LTC,LTC/AVAX,AVAX/SOL,12,10
AVAX,ETH,XRP,AVAX/ETH,ETH/XRP,XRP/AVAX,9,13
BTC,BNB,DOGE,BTC/BNB,BNB/DOGE,DOGE/BTC,6,12
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,7,12
TRX,DOT,USDT,TRX/DOT,DOT/USDT,USDT/TRX,12,11
ADA,DOGE,LTC,ADA/DOGE,DOGE/LTC,LTC/ADA,11,13
BNB,SOL,ADA,BNB/SOL,SOL/ADA,ADA/BNB,8,10
XRP,TON,LINK,XRP/TON,TON/LINK,LINK/XRP,12,10
ADA,DOGE,AVAX,ADA/DOGE,DOGE/AVAX,AVAX/ADA,7,17
BTC,BNB,TRX,BTC/BNB,BNB/TRX,TRX/BTC,6,8
AVAX,BTC,USDC,AVAX/BTC,BTC/USDC,USDC/AVAX,7,17
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,7,15
