base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ETH,XRP,TRX,ETH/XRP,XRP/TRX,TRX/ETH,10,16
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,6,13
AVAX,BTC,USDT,AVAX/BTC,BTC/USDT,USDT/AVAX,12,15
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,7,13
XRP,TON,DOT,XRP/TON,TON/DOT,DOT/XRP,8,15
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,12,9
DOGE,DOT,BTC,DOGE/DOT,DOT/BTC,BTC/DOGE,6,13
USDC,DOGE,LTC,USDC/DOGE,DOGE/LTC,LTC/USDC,8,13
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,12,12
LINK,USDT,ADA,LINK/USDT,USDT/ADA,ADA/LINK,7,17
LINK,BTC,SOL,LINK/BTC,BTC/SOL,SOL/LINK,12,10
DOGE,AVAX,BTC,DOGE/AVAX,AVAX/BTC,BTC/DOGE,11,17
ADA,AVAX,DOT,ADA/AVAX,AVAX/DOT,DOT/ADA,6,17
SOL,LTC,BTC,SOL/LTC,LTC/BTC,BTC/SOL,10,9
DOGE,AVAX,BTC,DOGE/AVAX,AVAX/BTC,BTC/DOGE,8,10
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,7,12
TON,ETH,SOL,TON/ETH,ETH/SOL,SOL/TON,10,13
TON,DOT,USDC,TON/DOT,DOT/USDC,USDC/TON,6,12
DOGE,AVAX,USDT,DOGE/AVAX,AVAX/USDT,USDT/DOGE,10,11
TRX,TON,LINK,TRX/TON,TON/LINK,LINK/TRX,8,12
ADA,DOGE,TON,ADA/DOGE,DOGE/TON,TON/ADA,5,14
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,5,12
XRP,TON,ETH,XRP/TON,TON/ETH,ETH/XRP,6,15
TRX,LTC,AVAX,TRX/LTC,LTC/AVAX,AVAX/TRX,11,15
XRP,TON,LINK,XRP/TON,TON/LINK,LINK/XRP,7,14
ADA,LTC,DOT,ADA/LTC,LTC/DOT,DOT/ADA,8,16
USDC,SOL,LTC,USDC/SOL,SOL/LTC,LTC/USDC,7,10
TRX,DOT,ETH,TRX/DOT,DOT/ETH,ETH/TRX,6,15
LTC,TON,AVAX,LTC/TON,TON/AVAX,AVAX/LTC,6,8
DOT,BTC,BNB,DOT/BTC,BTC/BNB,BNB/DOT,8,16
BNB,XRP,LTC,BNB/XRP,XRP/LTC,LTC/BNB,10,9
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,10,9
TRX,LTC,BTC,TRX/LTC,LTC/BTC,BTC/TRX,5,11
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,5,11
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,11,10
BNB,XRP,TON,BNB/XRP,XRP/TON,TON/BNB,9,11
BTC,BNB,TRX,BTC/BNB,BNB/TRX,TRX/BTC,7,9
TON,ETH,SOL,TON/ETH,ETH/SOL,SOL/TON,8,10
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,9,15
ADA,AVAX,BTC,ADA/AVAX,AVAX/BTC,BTC/ADA,6,12
AVAX,ETH,XRP,AVAX/ETH,ETH/XRP,XRP/AVAX,7,15
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,9,14
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,9,16
TON,BTC,USDC,TON/BTC,BTC/USDC,USDC/TON,8,14
TRX,DOT,BTC,TRX/DOT,DOT/BTC,BTC/TRX,11,17
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,8,12
ETH,BNB,XRP,ETH/BNB,BNB/XRP,XRP/ETH,12,13
USDC,BNB,ADA,USDC/BNB,BNB/ADA,ADA/USDC,12,13
TRX,LINK,BTC,TRX/LINK,LINK/BTC,BTC/TRX,12,13
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,12,9
