base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
TRX,TON,AVAX,TRX/TON,TON/AVAX,AVAX/TRX,7,15
TRX,AVAX,DOT,TRX/AVAX,AVAX/DOT,DOT/TRX,5,11
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,9,14
BTC,USDT,SOL,BTC/USDT,USDT/SOL,SOL/BTC,7,12
USDT,BNB,TRX,USDT/BNB,BNB/TRX,TRX/USDT,9,12
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,11,17
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,9,17
XRP,TON,DOT,XRP/TON,TON/DOT,DOT/XRP,5,14
BNB,ADA,LTC,BNB/ADA,ADA/LTC,LTC/BNB,11,11
USDT,SOL,ADA,USDT/SOL,SOL/ADA,ADA/USDT,9,9
DOGE,TON,DOT,DOGE/TON,TON/DOT,DOT/DOGE,7,17
ADA,LTC,TON,ADA/LTC,LTC/TON,TON/ADA,10,17
LTC,AVAX,BTC,LTC/AVAX,AVAX/BTC,BTC/LTC,10,9
TON,BTC,USDT,TON/BTC,BTC/USDT,USDT/TON,6,17
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,6,10
TON,LINK,USDC,TON/LINK,LINK/USDC,USDC/TON,9,9
ETH,USDT,SOL,ETH/USDT,USDT/SOL,SOL/ETH,5,14
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,11,11
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,11,9
USDC,SOL,ADA,USDC/SOL,SOL/ADA,ADA/USDC,6,10
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,8,17
ETH,USDT,SOL,ETH/USDT,USDT/SOL,SOL/ETH,9,15
TON,LINK,USDT,TON/LINK,LINK/USDT,USDT/TON,6,11
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,9,11
TRX,AVAX,ETH,TRX/AVAX,AVAX/ETH,ETH/TRX,12,13
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,6,15
DOT,USDT,XRP,DOT/USDT,USDT/XRP,XRP/DOT,10,8
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,7,10
AVAX,BTC,USDT,AVAX/BTC,BTC/USDT,USDT/AVAX,7,14
BTC,SOL,DOGE,BTC/SOL,SOL/DOGE,DOGE/BTC,6,12
LINK,ETH,SOL,LINK/ETH,ETH/SOL,SOL/LINK,12,9
TON,AVAX,LINK,TON/AVAX,AVAX/LINK,LINK/TON,9,9
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,11,8
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,9,9
SOL,LTC,LINK,SOL/LTC,LTC/LINK,LINK/SOL,5,8
LINK,ETH,SOL,LINK/ETH,ETH/SOL,SOL/LINK,10,10
LINK,BTC,ETH,LINK/BTC,BTC/ETH,ETH/LINK,9,11
XRP,TRX,TON,XRP/TRX,TRX/TON,TON/XRP,8,11
USDC,SOL,DOGE,USDC/SOL,SOL/DOGE,DOGE/USDC,8,8
BTC,SOL,ADA,BTC/SOL,SOL/ADA,ADA/BTC,9,11
AVAX,LINK,USDC,AVAX/LINK,LINK/USDC,USDC/AVAX,9,8
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,8,14
LTC,LINK,USDC,LTC/LINK,LINK/USDC,USDC/LTC,11,11
DOT,USDT,BNB,DOT/USDT,USDT/BNB,BNB/DOT,11,16
LTC,TON,LINK,LTC/TON,TON/LINK,LINK/LTC,9,12
LINK,ETH,USDC,LINK/ETH,ETH/USDC,USDC/LINK,11,13
DOT,ETH,USDT,DOT/ETH,ETH/USDT,USDT/DOT,6,17
DOT,USDT,USDC,DOT/USDT,USDT/USDC,USDC/DOT,6,12
BNB,TRX,TON,BNB/TRX,TRX/TON,TON/BNB,9,15
DOGE,TRX,LTC,DOGE/TRX,TRX/LTC,LTC/DOGE,10,12
