base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ADA,TON,DOT,ADA/TON,TON/DOT,DOT/ADA,6,8
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,6,12
LINK,ETH,USDC,LINK/ETH,ETH/USDC,USDC/LINK,6,14
SOL,LTC,TON,SOL/LTC,LTC/TON,TON/SOL,6,9
XRP,DOGE,TON,XRP/DOGE,DOGE/TON,TON/XRP,9,13
DOT,USDT,SOL,DOT/USDT,USDT/SOL,SOL/DOT,9,15
ETH,USDT,BNB,ETH/USDT,USDT/BNB,BNB/ETH,11,9
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,6,11
ADA,AVAX,LINK,ADA/AVAX,AVAX/LINK,LINK/ADA,6,16
DOGE,LTC,BTC,DOGE/LTC,LTC/BTC,BTC/DOGE,10,9
USDT,USDC,ADA,USDT/USDC,USDC/ADA,ADA/USDT,11,15
LTC,AVAX,BTC,LTC/AVAX,AVAX/BTC,BTC/LTC,9,10
XRP,TON,LINK,XRP/TON,TON/LINK,LINK/XRP,8,13
USDC,ADA,DOGE,USDC/ADA,ADA/DOGE,DOGE/USDC,8,10
DOGE,TON,LINK,DOGE/TON,TON/LINK,LINK/DOGE,8,9
DOGE,DOT,ETH,DOGE/DOT,DOT/ETH,ETH/DOGE,7,17
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,6,17
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,5,17
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,8,14
BNB,XRP,DOGE,BNB/XRP,XRP/DOGE,DOGE/BNB,6,10
XRP,ADA,DOGE,XRP/ADA,ADA/DOGE,DOGE/XRP,5,16
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,9,12
USDC,XRP,TRX,USDC/XRP,XRP/TRX,TRX/USDC,9,9
USDT,ADA,DOGE,USDT/ADA,ADA/DOGE,DOGE/USDT,6,16
USDT,XRP,ADA,USDT/XRP,XRP/ADA,ADA/USDT,5,16
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,10,17
SOL,XRP,ADA,SOL/XRP,XRP/ADA,ADA/SOL,9,15
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,11,17
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,6,8
DOT,BTC,USDT,DOT/BTC,BTC/USDT,USDT/DOT,5,17
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,11,17
LTC,LINK,USDT,LTC/LINK,LINK/USDT,USDT/LTC,6,9
LTC,AVAX,USDT,LTC/AVAX,AVAX/USDT,USDT/LTC,7,11
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,11,9
LTC,BTC,USDT,LTC/BTC,BTC/USDT,USDT/LTC,9,8
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,11,8
AVAX,LINK,BNB,AVAX/LINK,LINK/BNB,BNB/AVAX,10,8
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,10,16
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,5,12
DOT,BTC,SOL,DOT/BTC,BTC/SOL,SOL/DOT,9,11
ETH,USDC,DOGE,ETH/USDC,USDC/DOGE,DOGE/ETH,9,11
BTC,USDT,SOL,BTC/USDT,USDT/SOL,SOL/BTC,8,12
BTC,SOL,XRP,BTC/SOL,SOL/XRP,XRP/BTC,6,11
LINK,USDT,ADA,LINK/USDT,USDT/ADA,ADA/LINK,12,11
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,8,16
DOT,USDT,XRP,DOT/USDT,USDT/XRP,XRP/DOT,9,13
ADA,AVAX,BTC,ADA/AVAX,AVAX/BTC,BTC/ADA,11,17
ETH,BNB,ADA,ETH/BNB,BNB/ADA,ADA/ETH,10,11
DOGE,DOT,LINK,DOGE/DOT,DOT/LINK,LINK/DOGE,8,14
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,11,12
