base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
LTC,BTC,ETH,LTC/BTC,BTC/ETH,ETH/LTC,8,9
BNB,SOL,LTC,BNB/SOL,SOL/LTC,LTC/BNB,10,10
SOL,DOGE,TRX,SOL/DOGE,DOGE/TRX,TRX/SOL,12,13
USDT,SOL,ADA,USDT/SOL,SOL/ADA,ADA/USDT,10,9
USDC,ADA,TON,USDC/ADA,ADA/TON,TON/USDC,11,9
TON,BTC,USDT,TON/BTC,BTC/USDT,USDT/TON,9,17
DOT,USDT,BNB,DOT/USDT,USDT/BNB,BNB/DOT,11,17
DOT,USDT,SOL,DOT/USDT,USDT/SOL,SOL/DOT,10,11
AVAX,ETH,USDT,AVAX/ETH,ETH/USDT,USDT/AVAX,9,8
USDC,XRP,TON,USDC/XRP,XRP/TON,TON/USDC,6,9
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,11,10
XRP,TRX,AVAX,XRP/TRX,TRX/AVAX,AVAX/XRP,7,13
SOL,TRX,AVAX,SOL/TRX,TRX/AVAX,AVAX/SOL,8,10
LTC,LINK,BTC,LTC/LINK,LINK/BTC,BTC/LTC,7,9
LINK,USDC,BNB,LINK/USDC,USDC/BNB,BNB/LINK,9,11
ETH,BNB,DOGE,ETH/BNB,BNB/DOGE,DOGE/ETH,10,16
LINK,USDC,BNB,LINK/USDC,USDC/BNB,BNB/LINK,7,9
USDC,BNB,ADA,USDC/BNB,BNB/ADA,ADA/USDC,7,13
ETH,USDC,SOL,ETH/USDC,USDC/SOL,SOL/ETH,5,11
AVAX,BTC,SOL,AVAX/BTC,BTC/SOL,SOL/AVAX,5,8
USDC,BNB,TRX,USDC/BNB,BNB/TRX,TRX/USDC,9,14
LINK,USDC,ADA,LINK/USDC,USDC/ADA,ADA/LINK,11,17
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,11,16
LTC,BTC,USDC,LTC/BTC,BTC/USDC,USDC/LTC,10,9
ETH,XRP,ADA,ETH/XRP,XRP/ADA,ADA/ETH,9,12
XRP,ADA,TON,XRP/ADA,ADA/TON,TON/XRP,5,12
BTC,USDC,DOGE,BTC/USDC,USDC/DOGE,DOGE/BTC,8,16
USDC,ADA,DOGE,USDC/ADA,ADA/DOGE,DOGE/USDC,7,8
TON,DOT,USDT,TON/DOT,DOT/USDT,USDT/TON,10,14
USDC,BNB,TRX,USDC/BNB,BNB/TRX,TRX/USDC,9,13
TRX,AVAX,ETH,TRX/AVAX,AVAX/ETH,ETH/TRX,7,12
USDC,SOL,TRX,USDC/SOL,SOL/TRX,TRX/USDC,10,10
ETH,BNB,TRX,ETH/BNB,BNB/TRX,TRX/ETH,5,8
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,11,15
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,7,10
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,12,8
BTC,BNB,XRP,BTC/BNB,BNB/XRP,XRP/BTC,7,16
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,6,14
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,6,8
DOT,LINK,ETH,DOT/LINK,LINK/ETH,ETH/DOT,8,11
DOT,LINK,ETH,DOT/LINK,LINK/ETH,ETH/DOT,8,16
TON,DOT,USDC,TON/DOT,DOT/USDC,USDC/TON,11,10
DOGE,AVAX,USDT,DOGE/AVAX,AVAX/USDT,USDT/DOGE,10,17
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,9,9
AVAX,USDT,USDC,AVAX/USDT,USDT/USDC,USDC/AVAX,12,15
ADA,TON,BTC,ADA/TON,TON/BTC,BTC/ADA,7,11
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,11,11
DOGE,DOT,LINK,DOGE/DOT,DOT/LINK,LINK/DOGE,5,9
BTC,ETH,SOL,BTC/ETH,ETH/SOL,SOL/BTC,8,11
DOGE,DOT,USDC,DOGE/DOT,DOT/USDC,USDC/DOGE,9,14
