base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
LTC,LINK,BNB,LTC/LINK,LINK/BNB,BNB/LTC,10,16
DOT,USDC,BNB,DOT/USDC,USDC/BNB,BNB/DOT,5,8
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,11,11
LTC,BTC,ETH,LTC/BTC,BTC/ETH,ETH/LTC,11,14
DOT,BTC,SOL,DOT/BTC,BTC/SOL,SOL/DOT,5,9
USDT,ADA,TON,USDT/ADA,ADA/TON,TON/USDT,11,12
LINK,BTC,USDC,LINK/BTC,BTC/USDC,USDC/LINK,9,10
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,5,16
AVAX,BTC,USDT,AVAX/BTC,BTC/USDT,USDT/AVAX,9,13
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,5,12
DOT,LINK,USDC,DOT/LINK,LINK/USDC,USDC/DOT,9,15
BNB,ADA,LTC,BNB/ADA,ADA/LTC,LTC/BNB,9,16
LINK,BNB,DOGE,LINK/BNB,BNB/DOGE,DOGE/LINK,6,14
BNB,ADA,TRX,BNB/ADA,ADA/TRX,TRX/BNB,10,16
LTC,AVAX,BTC,LTC/AVAX,AVAX/BTC,BTC/LTC,6,11
USDC,BNB,ADA,USDC/BNB,BNB/ADA,ADA/USDC,7,14
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,5,17
ADA,DOGE,AVAX,ADA/DOGE,DOGE/AVAX,AVAX/ADA,8,14
BTC,USDC,BNB,BTC/USDC,USDC/BNB,BNB/BTC,5,14
BNB,DOGE,AVAX,BNB/DOGE,DOGE/AVAX,AVAX/BNB,11,16
XRP,ADA,TON,XRP/ADA,ADA/TON,TON/XRP,11,14
BTC,USDT,BNB,BTC/USDT,USDT/BNB,BNB/BTC,5,14
SOL,ADA,AVAX,SOL/ADA,ADA/AVAX,AVAX/SOL,12,17
ADA,LTC,TON,ADA/LTC,LTC/TON,TON/ADA,10,10
USDT,ADA,TON,USDT/ADA,ADA/TON,TON/USDT,7,11
AVAX,USDT,USDC,AVAX/USDT,USDT/USDC,USDC/AVAX,6,13
USDC,ADA,TRX,USDC/ADA,ADA/TRX,TRX/USDC,7,10
USDT,ADA,AVAX,USDT/ADA,ADA/AVAX,AVAX/USDT,11,11
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,10,16
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,10,10
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,8,11
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,8,16
LINK,BTC,ETH,LINK/BTC,BTC/ETH,ETH/LINK,9,8
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,12,13
TRX,AVAX,LINK,TRX/AVAX,AVAX/LINK,LINK/TRX,11,12
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,10,17
XRP,TON,DOT,XRP/TON,TON/DOT,DOT/XRP,12,16
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,11,16
TON,DOT,USDC,TON/DOT,DOT/USDC,USDC/TON,10,17
BTC,USDC,SOL,BTC/USDC,USDC/SOL,SOL/BTC,6,17
XRP,LTC,DOT,XRP/LTC,LTC/DOT,DOT/XRP,5,9
BNB,TRX,LINK,BNB/TRX,TRX/LINK,LINK/BNB,9,15
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,6,9
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,10,9
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,8,8
DOGE,TON,AVAX,DOGE/TON,TON/AVAX,AVAX/DOGE,6,14
USDT,USDC,DOGE,USDT/USDC,USDC/DOGE,DOGE/USDT,8,11
USDT,XRP,TRX,USDT/XRP,XRP/TRX,TRX/USDT,6,8
BNB,TRX,DOT,BNB/TRX,TRX/DOT,DOT/BNB,5,14
LTC,LINK,USDC,LTC/LINK,LINK/USDC,USDC/LTC,12,15
