base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
TRX,LINK,BNB,TRX/LINK,LINK/BNB,BNB/TRX,7,12
ADA,TON,ETH,ADA/TON,TON/ETH,ETH/ADA,5,11
DOT,BTC,ETH,DOT/BTC,BTC/ETH,ETH/DOT,12,15
BTC,USDT,SOL,BTC/USDT,USDT/SOL,SOL/BTC,12,15
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,5,14
ADA,LTC,DOT,ADA/LTC,LTC/DOT,DOT/ADA,11,8
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,10,14
DOGE,AVAX,BTC,DOGE/AVAX,AVAX/BTC,BTC/DOGE,12,17
TRX,TON,BTC,TRX/TON,TON/BTC,BTC/TRX,10,14
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,8,12
XRP,TON,DOT,XRP/TON,TON/DOT,DOT/XRP,5,13
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,6,14
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,8,12
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,10,15
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,5,8
DOT,ETH,XRP,DOT/ETH,ETH/XRP,XRP/DOT,7,8
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,7,12
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,7,15
DOGE,TRX,LINK,DOGE/TRX,TRX/LINK,LINK/DOGE,9,17
TON,DOT,USDT,TON/DOT,DOT/USDT,USDT/TON,5,13
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,9,14
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,6,17
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,7,8
USDC,SOL,ADA,USDC/SOL,SOL/ADA,ADA/USDC,9,13
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,8,9
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,9,14
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,10,11
LINK,USDC,SOL,LINK/USDC,USDC/SOL,SOL/LINK,10,16
XRP,LTC,TON,XRP/LTC,LTC/TON,TON/XRP,9,9
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,10,13
BTC,ETH,SOL,BTC/ETH,ETH/SOL,SOL/BTC,7,14
BTC,USDC,XRP,BTC/USDC,USDC/XRP,XRP/BTC,10,11
SOL,XRP,ADA,SOL/XRP,XRP/ADA,ADA/SOL,5,11
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,8,16
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,6,13
BNB,TRX,DOT,BNB/TRX,TRX/DOT,DOT/BNB,6,14
ETH,USDT,SOL,ETH/USDT,USDT/SOL,SOL/ETH,12,11
BNB,SOL,TRX,BNB/SOL,SOL/TRX,TRX/BNB,9,16
SOL,XRP,TON,SOL/XRP,XRP/TON,TON/SOL,9,16
TON,AVAX,USDT,TON/AVAX,AVAX/USDT,USDT/TON,6,13
AVAX,LINK,BTC,AVAX/LINK,LINK/BTC,BTC/AVAX,9,8
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,6,8
DOT,USDT,USDC,DOT/USDT,USDT/USDC,USDC/DOT,7,17
SOL,TRX,TON,SOL/TRX,TRX/TON,TON/SOL,8,13
TON,BTC,ETH,TON/BTC,BTC/ETH,ETH/TON,11,17
LINK,USDT,USDC,LINK/USDT,USDT/USDC,USDC/LINK,8,16
LINK,BTC,USDT,LINK/BTC,BTC/USDT,USDT/LINK,6,8
LTC,TON,DOT,LTC/TON,TON/DOT,DOT/LTC,6,9
TON,LINK,USDT,TON/LINK,LINK/USDT,USDT/TON,9,10
BTC,USDC,SOL,BTC/USDC,USDC/SOL,SOL/BTC,12,16
