base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
TON,LINK,USDC,TON/LINK,LINK/USDC,USDC/TON,7,13
DOGE,TON,BTC,DOGE/TON,TON/BTC,BTC/DOGE,7,12
LINK,USDT,BNB,LINK/USDT,USDT/BNB,BNB/LINK,5,15
AVAX,USDT,USDC,AVAX/USDT,USDT/USDC,USDC/AVAX,12,14
ADA,AVAX,USDT,ADA/AVAX,AVAX/USDT,USDT/ADA,12,15
TON,AVAX,BTC,TON/AVAX,AVAX/BTC,BTC/TON,8,8
BNB,XRP,DOGE,BNB/XRP,XRP/DOGE,DOGE/BNB,11,15
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,11,12
USDT,XRP,DOGE,USDT/XRP,XRP/DOGE,DOGE/USDT,5,11
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,6,14
LTC,DOT,USDC,LTC/DOT,DOT/USDC,USDC/LTC,12,10
DOT,LINK,BNB,DOT/LINK,LINK/BNB,BNB/DOT,9,12
LINK,BTC,USDT,LINK/BTC,BTC/USDT,USDT/LINK,6,16
BTC,USDC,BNB,BTC/USDC,USDC/BNB,BNB/BTC,6,11
TON,DOT,USDT,TON/DOT,DOT/USDT,USDT/TON,12,16
DOT,ETH,XRP,DOT/ETH,ETH/XRP,XRP/DOT,10,11
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,10,15
XRP,ADA,TON,XRP/ADA,ADA/TON,TON/XRP,12,8
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,8,13
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,5,9
DOT,ETH,USDC,DOT/ETH,ETH/USDC,USDC/DOT,6,9
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,10,14
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,8,14
AVAX,LINK,BNB,AVAX/LINK,LINK/BNB,BNB/AVAX,6,16
TON,ETH,BNB,TON/ETH,ETH/BNB,BNB/TON,7,9
ETH,USDT,BNB,ETH/USDT,USDT/BNB,BNB/ETH,7,9
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,7,11
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,7,12
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,12,15
LTC,LINK,USDT,LTC/LINK,LINK/USDT,USDT/LTC,8,9
ADA,AVAX,DOT,ADA/AVAX,AVAX/DOT,DOT/ADA,12,12
AVAX,BTC,ETH,AVAX/BTC,BTC/ETH,ETH/AVAX,8,15
DOGE,LTC,DOT,DOGE/LTC,LTC/DOT,DOT/DOGE,9,11
AVAX,DOT,LINK,AVAX/DOT,DOT/LINK,LINK/AVAX,8,14
LINK,BTC,USDC,LINK/BTC,BTC/USDC,USDC/LINK,7,13
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,11,14
SOL,TRX,DOT,SOL/TRX,TRX/DOT,DOT/SOL,9,15
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,7,8
AVAX,DOT,BTC,AVAX/DOT,DOT/BTC,BTC/AVAX,11,13
USDC,XRP,TRX,USDC/XRP,XRP/TRX,TRX/USDC,9,11
TRX,LTC,DOT,TRX/LTC,LTC/DOT,DOT/TRX,9,15
ETH,SOL,XRP,ETH/SOL,SOL/XRP,XRP/ETH,12,8
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,6,14
BNB,SOL,DOGE,BNB/SOL,SOL/DOGE,DOGE/BNB,11,17
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,5,13
BNB,DOGE,DOT,BNB/DOGE,DOGE/DOT,DOT/BNB,11,14
LTC,BTC,BNB,LTC/BTC,BTC/BNB,BNB/LTC,10,14
USDC,SOL,TRX,USDC/SOL,SOL/TRX,TRX/USDC,8,10
ADA,LTC,LINK,ADA/LTC,LTC/LINK,LINK/ADA,11,8
LTC,BTC,BNB,LTC/BTC,BTC/BNB,BNB/LTC,5,15
