base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
XRP,ADA,LTC,XRP/ADA,ADA/LTC,LTC/XRP,6,8
TRX,LINK,USDT,TRX/LINK,LINK/USDT,USDT/TRX,5,16
BTC,SOL,TRX,BTC/SOL,SOL/TRX,TRX/BTC,8,13
LINK,BTC,BNB,LINK/BTC,BTC/BNB,BNB/LINK,7,11
AVAX,DOT,LINK,AVAX/DOT,DOT/LINK,LINK/AVAX,6,11
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,6,16
DOT,BTC,USDC,DOT/BTC,BTC/USDC,USDC/DOT,9,15
ETH,USDT,ADA,ETH/USDT,USDT/ADA,ADA/ETH,8,17
DOT,USDT,USDC,DOT/USDT,USDT/USDC,USDC/DOT,11,11
DOT,USDT,XRP,DOT/USDT,USDT/XRP,XRP/DOT,10,11
LTC,AVAX,USDT,LTC/AVAX,AVAX/USDT,USDT/LTC,9,8
BNB,DOGE,TON,BNB/DOGE,DOGE/TON,TON/BNB,11,16
ADA,DOGE,AVAX,ADA/DOGE,DOGE/AVAX,AVAX/ADA,9,14
USDT,XRP,TON,USDT/XRP,XRP/TON,TON/USDT,7,13
ADA,AVAX,ETH,ADA/AVAX,AVAX/ETH,ETH/ADA,5,16
LTC,DOT,ETH,LTC/DOT,DOT/ETH,ETH/LTC,10,17
TON,ETH,SOL,TON/ETH,ETH/SOL,SOL/TON,9,12
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,9,8
USDT,SOL,TRX,USDT/SOL,SOL/TRX,TRX/USDT,8,16
DOGE,TRX,AVAX,DOGE/TRX,TRX/AVAX,AVAX/DOGE,7,17
TRX,TON,LINK,TRX/TON,TON/LINK,LINK/TRX,11,12
DOGE,DOT,USDT,DOGE/DOT,DOT/USDT,USDT/DOGE,8,12
TRX,DOT,LINK,TRX/DOT,DOT/LINK,LINK/TRX,5,17
DOT,USDT,SOL,DOT/USDT,USDT/SOL,SOL/DOT,5,9
BNB,XRP,DOGE,BNB/XRP,XRP/DOGE,DOGE/BNB,10,9
TON,BTC,BNB,TON/BTC,BTC/BNB,BNB/TON,6,14
ETH,USDC,SOL,ETH/USDC,USDC/SOL,SOL/ETH,6,8
BTC,BNB,XRP,BTC/BNB,BNB/XRP,XRP/BTC,12,17
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,5,16
BTC,SOL,ADA,BTC/SOL,SOL/ADA,ADA/BTC,6,14
SOL,TRX,LINK,SOL/TRX,TRX/LINK,LINK/SOL,8,16
TON,LINK,ETH,TON/LINK,LINK/ETH,ETH/TON,6,17
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,9,14
ETH,XRP,TRX,ETH/XRP,XRP/TRX,TRX/ETH,11,11
ETH,USDT,BNB,ETH/USDT,USDT/BNB,BNB/ETH,5,15
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,5,17
BTC,USDC,BNB,BTC/USDC,USDC/BNB,BNB/BTC,8,9
DOGE,TON,DOT,DOGE/TON,TON/DOT,DOT/DOGE,6,17
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,8,11
LTC,AVAX,USDT,LTC/AVAX,AVAX/USDT,USDT/LTC,9,13
BNB,SOL,ADA,BNB/SOL,SOL/ADA,ADA/BNB,8,10
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,5,14
LTC,TON,LINK,LTC/TON,TON/LINK,LINK/LTC,6,12
TRX,AVAX,DOT,TRX/AVAX,AVAX/DOT,DOT/TRX,10,13
BNB,SOL,LTC,BNB/SOL,SOL/LTC,LTC/BNB,5,10
SOL,DOGE,LTC,SOL/DOGE,DOGE/LTC,LTC/SOL,12,15
DOGE,DOT,USDT,DOGE/DOT,DOT/USDT,USDT/DOGE,10,15
BTC,SOL,XRP,BTC/SOL,SOL/XRP,XRP/BTC,11,10
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,12,9
XRP,TON,AVAX,XRP/TON,TON/AVAX,AVAX/XRP,6,14
