base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
USDC,XRP,LTC,USDC/XRP,XRP/LTC,LTC/USDC,7,13
USDT,SOL,TRX,USDT/SOL,SOL/TRX,TRX/USDT,12,10
AVAX,DOT,USDT,AVAX/DOT,DOT/USDT,USDT/AVAX,12,9
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,6,14
USDC,SOL,ADA,USDC/SOL,SOL/ADA,ADA/USDC,11,9
ETH,XRP,ADA,ETH/XRP,XRP/ADA,ADA/ETH,8,10
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,8,13
LINK,USDT,ADA,LINK/USDT,USDT/ADA,ADA/LINK,7,13
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,8,15
DOGE,DOT,USDT,DOGE/DOT,DOT/USDT,USDT/DOGE,5,11
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,9,8
USDT,ADA,LTC,USDT/ADA,ADA/LTC,LTC/USDT,8,8
TON,ETH,BNB,TON/ETH,ETH/BNB,BNB/TON,10,9
TON,AVAX,ETH,TON/AVAX,AVAX/ETH,ETH/TON,8,10
DOT,LINK,ETH,DOT/LINK,LINK/ETH,ETH/DOT,5,17
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,6,12
LINK,BTC,SOL,LINK/BTC,BTC/SOL,SOL/LINK,10,13
SOL,ADA,TRX,SOL/ADA,ADA/TRX,TRX/SOL,12,17
BTC,SOL,TRX,BTC/SOL,SOL/TRX,TRX/BTC,8,11
AVAX,BTC,USDT,AVAX/BTC,BTC/USDT,USDT/AVAX,5,17
SOL,ADA,AVAX,SOL/ADA,ADA/AVAX,AVAX/SOL,5,8
BNB,TRX,LTC,BNB/TRX,TRX/LTC,LTC/BNB,12,13
DOT,ETH,USDT,DOT/ETH,ETH/USDT,USDT/DOT,5,15
LTC,DOT,USDT,LTC/DOT,DOT/USDT,USDT/LTC,8,15
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,12,11
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,6,11
AVAX,LINK,BTC,AVAX/LINK,LINK/BTC,BTC/AVAX,6,8
ETH,USDT,SOL,ETH/USDT,USDT/SOL,SOL/ETH,11,9
XRP,DOGE,LTC,XRP/DOGE,DOGE/LTC,LTC/XRP,6,12
TON,DOT,ETH,TON/DOT,DOT/ETH,ETH/TON,7,14
DOT,ETH,XRP,DOT/ETH,ETH/XRP,XRP/DOT,11,9
USDC,SOL,XRP,USDC/SOL,SOL/XRP,XRP/USDC,9,16
TRX,LTC,AVAX,TRX/LTC,LTC/AVAX,AVAX/TRX,8,8
ETH,USDC,BNB,ETH/USDC,USDC/BNB,BNB/ETH,10,16
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,12,17
USDT,BNB,ADA,USDT/BNB,BNB/ADA,ADA/USDT,5,13
DOGE,TON,BTC,DOGE/TON,TON/BTC,BTC/DOGE,8,10
LINK,USDC,XRP,LINK/USDC,USDC/XRP,XRP/LINK,6,15
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,8,16
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,10,10
TON,AVAX,BTC,TON/AVAX,AVAX/BTC,BTC/TON,5,12
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,10,10
AVAX,ETH,SOL,AVAX/ETH,ETH/SOL,SOL/AVAX,10,8
SOL,ADA,TRX,SOL/ADA,ADA/TRX,TRX/SOL,9,17
SOL,LTC,LINK,SOL/LTC,LTC/LINK,LINK/SOL,8,13
ETH,XRP,TRX,ETH/XRP,XRP/TRX,TRX/ETH,10,10
BNB,SOL,LTC,BNB/SOL,SOL/LTC,LTC/BNB,7,13
LINK,USDC,SOL,LINK/USDC,USDC/SOL,SOL/LINK,6,14
BTC,SOL,LTC,BTC/SOL,SOL/LTC,LTC/BTC,7,9
LINK,BTC,ETH,LINK/BTC,BTC/ETH,ETH/LINK,7,15
