base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,7,16
DOGE,TRX,TON,DOGE/TRX,TRX/TON,TON/DOGE,7,10
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,10,16
LTC,AVAX,BTC,LTC/AVAX,AVAX/BTC,BTC/LTC,7,11
AVAX,USDT,XRP,AVAX/USDT,USDT/XRP,XRP/AVAX,6,13
LINK,BNB,ADA,LINK/BNB,BNB/ADA,ADA/LINK,9,13
SOL,LTC,LINK,SOL/LTC,LTC/LINK,LINK/SOL,6,10
ADA,LTC,TON,ADA/LTC,LTC/TON,TON/ADA,6,11
SOL,LTC,LINK,SOL/LTC,LTC/LINK,LINK/SOL,12,9
ADA,DOGE,TON,ADA/DOGE,DOGE/TON,TON/ADA,12,16
BNB,TRX,LTC,BNB/TRX,TRX/LTC,LTC/BNB,6,8
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,11,9
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,5,17
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,10,15
TRX,LTC,BTC,TRX/LTC,LTC/BTC,BTC/TRX,7,9
LTC,BTC,ETH,LTC/BTC,BTC/ETH,ETH/LTC,12,15
XRP,TRX,AVAX,XRP/TRX,TRX/AVAX,AVAX/XRP,7,16
LINK,BTC,USDT,LINK/BTC,BTC/USDT,USDT/LINK,9,8
LTC,DOT,USDC,LTC/DOT,DOT/USDC,USDC/LTC,5,15
LTC,LINK,ETH,LTC/LINK,LINK/ETH,ETH/LTC,9,10
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,7,17
BNB,TRX,LTC,BNB/TRX,TRX/LTC,LTC/BNB,6,15
BNB,DOGE,TON,BNB/DOGE,DOGE/TON,TON/BNB,10,11
LINK,USDT,SOL,LINK/USDT,USDT/SOL,SOL/LINK,9,9
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,6,14
USDT,USDC,SOL,USDT/USDC,USDC/SOL,SOL/USDT,10,14
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,6,13
ADA,LTC,TON,ADA/LTC,LTC/TON,TON/ADA,9,9
AVAX,ETH,XRP,AVAX/ETH,ETH/XRP,XRP/AVAX,9,8
USDC,ADA,TON,USDC/ADA,ADA/TON,TON/USDC,7,17
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,10,12
DOT,BTC,USDC,DOT/BTC,BTC/USDC,USDC/DOT,8,13
BTC,USDC,SOL,BTC/USDC,USDC/SOL,SOL/BTC,12,11
DOT,ETH,XRP,DOT/ETH,ETH/XRP,XRP/DOT,7,14
BTC,ETH,USDT,BTC/ETH,ETH/USDT,USDT/BTC,11,17
ADA,AVAX,DOT,ADA/AVAX,AVAX/DOT,DOT/ADA,5,16
USDC,XRP,TRX,USDC/XRP,XRP/TRX,TRX/USDC,5,12
XRP,LTC,DOT,XRP/LTC,LTC/DOT,DOT/XRP,8,15
BTC,SOL,XRP,BTC/SOL,SOL/XRP,XRP/BTC,7,10
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,11,10
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,8,14
LTC,TON,BTC,LTC/TON,TON/BTC,BTC/LTC,10,17
BTC,ETH,BNB,BTC/ETH,ETH/BNB,BNB/BTC,9,8
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,10,16
XRP,DOGE,DOT,XRP/DOGE,DOGE/DOT,DOT/XRP,6,9
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,5,8
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,5,17
DOGE,LTC,DOT,DOGE/LTC,LTC/DOT,DOT/DOGE,5,9
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,5,9
ETH,SOL,DOGE,ETH/SOL,SOL/DOGE,DOGE/ETH,12,17
