base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ETH,USDC,DOGE,ETH/USDC,USDC/DOGE,DOGE/ETH,7,15
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,12,9
XRP,DOGE,DOT,XRP/DOGE,DOGE/DOT,DOT/XRP,7,16
AVAX,BTC,USDC,AVAX/BTC,BTC/USDC,USDC/AVAX,10,17
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,6,10
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,12,14
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,8,10
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,10,16
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,11,17
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,6,17
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,11,10
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,10,13
DOGE,LTC,LINK,DOGE/LTC,LTC/LINK,LINK/DOGE,10,8
TRX,DOT,LINK,TRX/DOT,DOT/LINK,LINK/TRX,10,14
DOT,BTC,BNB,DOT/BTC,BTC/BNB,BNB/DOT,10,8
AVAX,LINK,BNB,AVAX/LINK,LINK/BNB,BNB/AVAX,8,9
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,6,16
BNB,TRX,DOT,BNB/TRX,TRX/DOT,DOT/BNB,7,13
TON,LINK,ETH,TON/LINK,LINK/ETH,ETH/TON,7,17
TON,DOT,LINK,TON/DOT,DOT/LINK,LINK/TON,10,13
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,11,16
SOL,DOGE,LTC,SOL/DOGE,DOGE/LTC,LTC/SOL,11,8
TON,ETH,SOL,TON/ETH,ETH/SOL,SOL/TON,5,16
LTC,TON,BTC,LTC/TON,TON/BTC,BTC/LTC,7,8
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,8,8
DOT,USDT,BNB,DOT/USDT,USDT/BNB,BNB/DOT,5,14
SOL,ADA,LTC,SOL/ADA,ADA/LTC,LTC/SOL,7,10
LINK,BTC,BNB,LINK/BTC,BTC/BNB,BNB/LINK,9,11
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,6,11
LTC,BTC,ETH,LTC/BTC,BTC/ETH,ETH/LTC,11,9
ETH,USDT,USDC,ETH/USDT,USDT/USDC,USDC/ETH,10,11
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,12,11
BNB,ADA,AVAX,BNB/ADA,ADA/AVAX,AVAX/BNB,10,15
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,10,9
SOL,XRP,TON,SOL/XRP,XRP/TON,TON/SOL,12,13
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,6,8
DOGE,TRX,AVAX,DOGE/TRX,TRX/AVAX,AVAX/DOGE,10,11
ADA,AVAX,USDT,ADA/AVAX,AVAX/USDT,USDT/ADA,9,17
BTC,SOL,ADA,BTC/SOL,SOL/ADA,ADA/BTC,10,14
LTC,AVAX,USDT,LTC/AVAX,AVAX/USDT,USDT/LTC,5,9
TON,AVAX,LINK,TON/AVAX,AVAX/LINK,LINK/TON,9,10
XRP,DOGE,AVAX,XRP/DOGE,DOGE/AVAX,AVAX/XRP,6,11
XRP,ADA,TON,XRP/ADA,ADA/TON,TON/XRP,12,15
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,10,10
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,10,9
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,12,17
XRP,TRX,TON,XRP/TRX,TRX/TON,TON/XRP,7,11
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,7,16
TRX,LINK,ETH,TRX/LINK,LINK/ETH,ETH/TRX,7,13
TRX,AVAX,ETH,TRX/AVAX,AVAX/ETH,ETH/TRX,10,14
