base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ETH,XRP,TON,ETH/XRP,XRP/TON,TON/ETH,11,15
BNB,ADA,TON,BNB/ADA,ADA/TON,TON/BNB,11,13
BNB,ADA,AVAX,BNB/ADA,ADA/AVAX,AVAX/BNB,6,16
BTC,ETH,SOL,BTC/ETH,ETH/SOL,SOL/BTC,7,11
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,5,10
XRP,ADA,DOGE,XRP/ADA,ADA/DOGE,DOGE/XRP,7,9
BTC,ETH,USDT,BTC/ETH,ETH/USDT,USDT/BTC,7,12
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,5,17
LINK,USDC,BNB,LINK/USDC,USDC/BNB,BNB/LINK,7,8
USDT,BNB,TRX,USDT/BNB,BNB/TRX,TRX/USDT,12,9
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,7,11
DOGE,TON,AVAX,DOGE/TON,TON/AVAX,AVAX/DOGE,7,10
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,9,13
LTC,BTC,USDT,LTC/BTC,BTC/USDT,USDT/LTC,9,13
TON,DOT,USDC,TON/DOT,DOT/USDC,USDC/TON,11,9
USDC,DOGE,LTC,USDC/DOGE,DOGE/LTC,LTC/USDC,9,11
BNB,XRP,TON,BNB/XRP,XRP/TON,TON/BNB,9,14
LTC,TON,LINK,LTC/TON,TON/LINK,LINK/LTC,9,13
AVAX,DOT,ETH,AVAX/DOT,DOT/ETH,ETH/AVAX,10,16
BNB,SOL,ADA,BNB/SOL,SOL/ADA,ADA/BNB,10,13
AVAX,LINK,ETH,AVAX/LINK,LINK/ETH,ETH/AVAX,9,11
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,8,13
DOGE,AVAX,USDT,DOGE/AVAX,AVAX/USDT,USDT/DOGE,6,16
BNB,XRP,TRX,BNB/XRP,XRP/TRX,TRX/BNB,12,9
SOL,DOGE,AVAX,SOL/DOGE,DOGE/AVAX,AVAX/SOL,9,10
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,5,14
DOT,LINK,ETH,DOT/LINK,LINK/ETH,ETH/DOT,12,11
LINK,BNB,TRX,LINK/BNB,BNB/TRX,TRX/LINK,5,17
USDT,USDC,SOL,USDT/USDC,USDC/SOL,SOL/USDT,12,17
ETH,BNB,ADA,ETH/BNB,BNB/ADA,ADA/ETH,7,13
SOL,DOGE,AVAX,SOL/DOGE,DOGE/AVAX,AVAX/SOL,12,12
TON,ETH,BNB,TON/ETH,ETH/BNB,BNB/TON,9,15
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,10,16
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,9,11
TRX,AVAX,LINK,TRX/AVAX,AVAX/LINK,LINK/TRX,8,9
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,12,8
BNB,XRP,TON,BNB/XRP,XRP/TON,TON/BNB,9,13
XRP,TON,AVAX,XRP/TON,TON/AVAX,AVAX/XRP,12,13
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,12,12
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,9,13
AVAX,DOT,USDT,AVAX/DOT,DOT/USDT,USDT/AVAX,11,10
TRX,AVAX,BTC,TRX/AVAX,AVAX/BTC,BTC/TRX,6,16
BNB,SOL,ADA,BNB/SOL,SOL/ADA,ADA/BNB,10,9
LTC,LINK,BTC,LTC/LINK,LINK/BTC,BTC/LTC,12,11
DOGE,DOT,USDT,DOGE/DOT,DOT/USDT,USDT/DOGE,5,10
ADA,AVAX,BTC,ADA/AVAX,AVAX/BTC,BTC/ADA,6,11
BTC,ETH,SOL,BTC/ETH,ETH/SOL,SOL/BTC,11,17
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,8,12
USDC,SOL,ADA,USDC/SOL,SOL/ADA,ADA/USDC,5,12
TRX,LINK,USDC,TRX/LINK,LINK/USDC,USDC/TRX,6,16
