base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
TRX,TON,LINK,TRX/TON,TON/LINK,LINK/TRX,5,14
USDC,ADA,TON,USDC/ADA,ADA/TON,TON/USDC,10,17
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,9,12
TRX,DOT,USDT,TRX/DOT,DOT/USDT,USDT/TRX,7,8
LTC,BTC,SOL,LTC/BTC,BTC/SOL,SOL/LTC,7,15
XRP,TON,ETH,XRP/TON,TON/ETH,ETH/XRP,5,9
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,5,11
USDT,USDC,SOL,USDT/USDC,USDC/SOL,SOL/USDT,8,10
DOGE,LTC,TON,DOGE/LTC,LTC/TON,TON/DOGE,10,12
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,12,16
XRP,ADA,AVAX,XRP/ADA,ADA/AVAX,AVAX/XRP,5,12
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,10,14
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,10,14
BTC,BNB,XRP,BTC/BNB,BNB/XRP,XRP/BTC,7,9
DOT,USDT,XRP,DOT/USDT,USDT/XRP,XRP/DOT,7,14
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,6,9
USDT,BNB,TRX,USDT/BNB,BNB/TRX,TRX/USDT,10,11
LINK,BNB,DOGE,LINK/BNB,BNB/DOGE,DOGE/LINK,12,10
LTC,LINK,BTC,LTC/LINK,LINK/BTC,BTC/LTC,8,9
DOT,USDT,SOL,DOT/USDT,USDT/SOL,SOL/DOT,10,16
ETH,SOL,TRX,ETH/SOL,SOL/TRX,TRX/ETH,10,10
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,9,16
AVAX,BTC,USDC,AVAX/BTC,BTC/USDC,USDC/AVAX,7,13
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,5,16
TRX,TON,ETH,TRX/TON,TON/ETH,ETH/TRX,10,17
AVAX,BTC,USDC,AVAX/BTC,BTC/USDC,USDC/AVAX,9,13
SOL,TRX,LTC,SOL/TRX,TRX/LTC,LTC/SOL,8,14
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,9,9
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,10,16
XRP,LTC,AVAX,XRP/LTC,LTC/AVAX,AVAX/XRP,12,8
DOT,BTC,USDT,DOT/BTC,BTC/USDT,USDT/DOT,6,14
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,5,10
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,5,11
TRX,LTC,BTC,TRX/LTC,LTC/BTC,BTC/TRX,5,17
BNB,XRP,ADA,BNB/XRP,XRP/ADA,ADA/BNB,6,10
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,10,13
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,10,8
SOL,LTC,BTC,SOL/LTC,LTC/BTC,BTC/SOL,11,16
DOGE,TON,DOT,DOGE/TON,TON/DOT,DOT/DOGE,12,9
LINK,USDC,ADA,LINK/USDC,USDC/ADA,ADA/LINK,10,14
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,9,15
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,7,15
ETH,USDT,USDC,ETH/USDT,USDT/USDC,USDC/ETH,7,16
ETH,SOL,XRP,ETH/SOL,SOL/XRP,XRP/ETH,8,12
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,5,14
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,9,10
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,12,10
BTC,USDC,XRP,BTC/USDC,USDC/XRP,XRP/BTC,11,17
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,6,9
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,9,9
