base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ETH,BNB,XRP,ETH/BNB,BNB/XRP,XRP/ETH,7,14
TRX,LINK,BTC,TRX/LINK,LINK/BTC,BTC/TRX,10,8
ADA,TRX,TON,ADA/TRX,TRX/TON,TON/ADA,5,9
TON,DOT,ETH,TON/DOT,DOT/ETH,ETH/TON,11,14
ETH,XRP,ADA,ETH/XRP,XRP/ADA,ADA/ETH,6,11
AVAX,BTC,SOL,AVAX/BTC,BTC/SOL,SOL/AVAX,11,15
LTC,LINK,BNB,LTC/LINK,LINK/BNB,BNB/LTC,11,8
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,7,11
DOT,ETH,USDT,DOT/ETH,ETH/USDT,USDT/DOT,9,8
DOT,BTC,USDC,DOT/BTC,BTC/USDC,USDC/DOT,9,11
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,6,12
ADA,TON,DOT,ADA/TON,TON/DOT,DOT/ADA,9,8
TRX,TON,BTC,TRX/TON,TON/BTC,BTC/TRX,11,8
ETH,BNB,XRP,ETH/BNB,BNB/XRP,XRP/ETH,11,16
BNB,SOL,TRX,BNB/SOL,SOL/TRX,TRX/BNB,6,8
ETH,XRP,TON,ETH/XRP,XRP/TON,TON/ETH,6,14
BNB,SOL,XRP,BNB/SOL,SOL/XRP,XRP/BNB,10,11
ADA,AVAX,ETH,ADA/AVAX,AVAX/ETH,ETH/ADA,6,15
USDT,BNB,TRX,USDT/BNB,BNB/TRX,TRX/USDT,6,14
LTC,DOT,LINK,LTC/DOT,DOT/LINK,LINK/LTC,6,12
BTC,ETH,BNB,BTC/ETH,ETH/BNB,BNB/BTC,10,9
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,12,15
LTC,AVAX,USDT,LTC/AVAX,AVAX/USDT,USDT/LTC,10,9
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,8,17
LTC,BTC,BNB,LTC/BTC,BTC/BNB,BNB/LTC,11,11
DOGE,LTC,LINK,DOGE/LTC,LTC/LINK,LINK/DOGE,7,14
ETH,XRP,ADA,ETH/XRP,XRP/ADA,ADA/ETH,12,9
DOGE,DOT,BTC,DOGE/DOT,DOT/BTC,BTC/DOGE,11,11
DOGE,TRX,TON,DOGE/TRX,TRX/TON,TON/DOGE,11,17
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,11,8
AVAX,LINK,USDC,AVAX/LINK,LINK/USDC,USDC/AVAX,5,17
SOL,XRP,TRX,SOL/XRP,XRP/TRX,TRX/SOL,12,14
LINK,USDC,DOGE,LINK/USDC,USDC/DOGE,DOGE/LINK,9,14
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,5,13
DOGE,TRX,LTC,DOGE/TRX,TRX/LTC,LTC/DOGE,12,11
DOGE,TRX,TON,DOGE/TRX,TRX/TON,TON/DOGE,12,15
DOT,USDC,BNB,DOT/USDC,USDC/BNB,BNB/DOT,7,8
ETH,USDT,USDC,ETH/USDT,USDT/USDC,USDC/ETH,6,9
BNB,ADA,DOGE,BNB/ADA,ADA/DOGE,DOGE/BNB,9,16
ADA,TON,BTC,ADA/TON,TON/BTC,BTC/ADA,5,14
ADA,DOGE,DOT,ADA/DOGE,DOGE/DOT,DOT/ADA,6,17
LINK,USDC,SOL,LINK/USDC,USDC/SOL,SOL/LINK,6,15
USDT,ADA,TON,USDT/ADA,ADA/TON,TON/USDT,6,14
ETH,USDC,XRP,ETH/USDC,USDC/XRP,XRP/ETH,9,13
BTC,USDC,BNB,BTC/USDC,USDC/BNB,BNB/BTC,7,12
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,9,16
LTC,DOT,ETH,LTC/DOT,DOT/ETH,ETH/LTC,11,13
LTC,LINK,BNB,LTC/LINK,LINK/BNB,BNB/LTC,9,8
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,6,13
DOGE,TRX,DOT,DOGE/TRX,TRX/DOT,DOT/DOGE,10,15
