base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,6,12
ETH,USDC,XRP,ETH/USDC,USDC/XRP,XRP/ETH,7,12
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,7,15
LINK,USDT,BNB,LINK/USDT,USDT/BNB,BNB/LINK,7,16
SOL,LTC,BTC,SOL/LTC,LTC/BTC,BTC/SOL,10,8
LTC,DOT,USDT,LTC/DOT,DOT/USDT,USDT/LTC,12,11
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,12,14
AVAX,ETH,USDT,AVAX/ETH,ETH/USDT,USDT/AVAX,6,10
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,7,17
USDT,USDC,ADA,USDT/USDC,USDC/ADA,ADA/USDT,5,8
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,9,12
SOL,DOGE,AVAX,SOL/DOGE,DOGE/AVAX,AVAX/SOL,11,9
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,9,12
SOL,TRX,LINK,SOL/TRX,TRX/LINK,LINK/SOL,7,11
LINK,BTC,ETH,LINK/BTC,BTC/ETH,ETH/LINK,9,15
XRP,TON,AVAX,XRP/TON,TON/AVAX,AVAX/XRP,6,17
USDC,DOGE,DOT,USDC/DOGE,DOGE/DOT,DOT/USDC,10,11
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,12,8
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,8,10
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,7,9
LTC,BTC,USDT,LTC/BTC,BTC/USDT,USDT/LTC,12,12
ADA,AVAX,LINK,ADA/AVAX,AVAX/LINK,LINK/ADA,9,10
XRP,TON,DOT,XRP/TON,TON/DOT,DOT/XRP,12,13
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,10,8
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,8,11
DOGE,TRX,LTC,DOGE/TRX,TRX/LTC,LTC/DOGE,8,14
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,8,13
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,10,10
USDT,ADA,AVAX,USDT/ADA,ADA/AVAX,AVAX/USDT,6,17
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,5,10
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,5,16
ETH,USDT,BNB,ETH/USDT,USDT/BNB,BNB/ETH,8,12
LINK,BTC,SOL,LINK/BTC,BTC/SOL,SOL/LINK,12,14
DOT,BTC,ETH,DOT/BTC,BTC/ETH,ETH/DOT,9,9
DOGE,LTC,LINK,DOGE/LTC,LTC/LINK,LINK/DOGE,8,17
USDT,USDC,DOGE,USDT/USDC,USDC/DOGE,DOGE/USDT,9,9
BNB,TRX,DOT,BNB/TRX,TRX/DOT,DOT/BNB,5,10
LTC,TON,DOT,LTC/TON,TON/DOT,DOT/LTC,9,15
BNB,TRX,TON,BNB/TRX,TRX/TON,TON/BNB,9,12
BTC,BNB,DOGE,BTC/BNB,BNB/DOGE,DOGE/BTC,9,10
AVAX,DOT,LINK,AVAX/DOT,DOT/LINK,LINK/AVAX,7,8
TON,DOT,USDC,TON/DOT,DOT/USDC,USDC/TON,12,10
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,9,17
DOGE,DOT,ETH,DOGE/DOT,DOT/ETH,ETH/DOGE,10,15
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,11,14
USDC,SOL,DOGE,USDC/SOL,SOL/DOGE,DOGE/USDC,7,16
LTC,TON,BTC,LTC/TON,TON/BTC,BTC/LTC,9,11
USDC,ADA,AVAX,USDC/ADA,ADA/AVAX,AVAX/USDC,11,12
USDT,XRP,ADA,USDT/XRP,XRP/ADA,ADA/USDT,11,11
AVAX,BTC,SOL,AVAX/BTC,BTC/SOL,SOL/AVAX,10,16
