base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
BNB,XRP,TRX,BNB/XRP,XRP/TRX,TRX/BNB,11,9
SOL,TRX,AVAX,SOL/TRX,TRX/AVAX,AVAX/SOL,5,10
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,10,11
ETH,BNB,XRP,ETH/BNB,BNB/XRP,XRP/ETH,7,13
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,10,17
USDC,XRP,TON,USDC/XRP,XRP/TON,TON/USDC,10,9
DOT,USDT,XRP,DOT/USDT,USDT/XRP,XRP/DOT,6,12
TON,DOT,USDT,TON/DOT,DOT/USDT,USDT/TON,12,13
DOGE,TRX,LINK,DOGE/TRX,TRX/LINK,LINK/DOGE,8,15
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,5,12
USDT,XRP,LTC,USDT/XRP,XRP/LTC,LTC/USDT,8,15
ADA,AVAX,DOT,ADA/AVAX,AVAX/DOT,DOT/ADA,7,10
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,9,12
XRP,TRX,AVAX,XRP/TRX,TRX/AVAX,AVAX/XRP,5,14
TON,BTC,SOL,TON/BTC,BTC/SOL,SOL/TON,10,15
BNB,ADA,TRX,BNB/ADA,ADA/TRX,TRX/BNB,5,11
USDT,USDC,XRP,USDT/USDC,USDC/XRP,XRP/USDT,10,16
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,5,13
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,7,12
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,10,15
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,12,15
SOL,XRP,ADA,SOL/XRP,XRP/ADA,ADA/SOL,5,8
BNB,SOL,ADA,BNB/SOL,SOL/ADA,ADA/BNB,10,8
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,12,16
TON,LINK,USDC,TON/LINK,LINK/USDC,USDC/TON,11,15
TON,BTC,SOL,TON/BTC,BTC/SOL,SOL/TON,8,9
ADA,TON,DOT,ADA/TON,TON/DOT,DOT/ADA,8,10
LTC,LINK,BTC,LTC/LINK,LINK/BTC,BTC/LTC,11,13
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,12,13
ETH,USDC,BNB,ETH/USDC,USDC/BNB,BNB/ETH,5,15
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,5,16
LINK,BNB,TRX,LINK/BNB,BNB/TRX,TRX/LINK,11,8
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,8,9
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,5,17
DOT,USDC,BNB,DOT/USDC,USDC/BNB,BNB/DOT,8,10
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,5,8
LINK,USDT,SOL,LINK/USDT,USDT/SOL,SOL/LINK,11,16
TRX,LINK,BNB,TRX/LINK,LINK/BNB,BNB/TRX,8,9
DOGE,AVAX,BTC,DOGE/AVAX,AVAX/BTC,BTC/DOGE,5,12
XRP,ADA,LTC,XRP/ADA,ADA/LTC,LTC/XRP,9,9
LTC,LINK,USDT,LTC/LINK,LINK/USDT,USDT/LTC,11,10
XRP,TON,ETH,XRP/TON,TON/ETH,ETH/XRP,7,16
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,7,8
TRX,LTC,BTC,TRX/LTC,LTC/BTC,BTC/TRX,5,17
XRP,TRX,TON,XRP/TRX,TRX/TON,TON/XRP,10,9
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,7,12
DOT,USDT,XRP,DOT/USDT,USDT/XRP,XRP/DOT,10,14
XRP,ADA,LTC,XRP/ADA,ADA/LTC,LTC/XRP,11,11
DOT,USDC,XRP,DOT/USDC,USDC/XRP,XRP/DOT,11,16
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,10,8
