base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
SOL,TRX,TON,SOL/TRX,TRX/TON,TON/SOL,8,10
ADA,DOGE,LTC,ADA/DOGE,DOGE/LTC,LTC/ADA,9,8
DOGE,LTC,BTC,DOGE/LTC,LTC/BTC,BTC/DOGE,11,10
SOL,TRX,TON,SOL/TRX,TRX/TON,TON/SOL,7,11
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,9,11
XRP,TRX,TON,XRP/TRX,TRX/TON,TON/XRP,5,16
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,7,11
USDC,DOGE,TON,USDC/DOGE,DOGE/TON,TON/USDC,6,10
ADA,TRX,DOT,ADA/TRX,TRX/DOT,DOT/ADA,7,9
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,6,12
USDT,SOL,DOGE,USDT/SOL,SOL/DOGE,DOGE/USDT,9,12
TRX,AVAX,DOT,TRX/AVAX,AVAX/DOT,DOT/TRX,5,14
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,8,14
DOT,ETH,BNB,DOT/ETH,ETH/BNB,BNB/DOT,6,14
SOL,DOGE,DOT,SOL/DOGE,DOGE/DOT,DOT/SOL,8,15
TON,AVAX,LINK,TON/AVAX,AVAX/LINK,LINK/TON,7,17
AVAX,USDT,USDC,AVAX/USDT,USDT/USDC,USDC/AVAX,10,13
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,8,15
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,10,13
LTC,LINK,USDC,LTC/LINK,LINK/USDC,USDC/LTC,11,8
SOL,XRP,ADA,SOL/XRP,XRP/ADA,ADA/SOL,9,8
XRP,TON,LINK,XRP/TON,TON/LINK,LINK/XRP,10,8
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,11,10
USDT,XRP,TON,USDT/XRP,XRP/TON,TON/USDT,9,17
TON,BTC,USDC,TON/BTC,BTC/USDC,USDC/TON,8,10
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,11,8
BNB,XRP,ADA,BNB/XRP,XRP/ADA,ADA/BNB,6,15
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,8,16
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,11,11
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,5,15
TRX,TON,DOT,TRX/TON,TON/DOT,DOT/TRX,7,17
USDC,BNB,TRX,USDC/BNB,BNB/TRX,TRX/USDC,9,14
BNB,XRP,TON,BNB/XRP,XRP/TON,TON/BNB,6,12
DOT,ETH,SOL,DOT/ETH,ETH/SOL,SOL/DOT,10,17
ADA,TRX,TON,ADA/TRX,TRX/TON,TON/ADA,10,8
LTC,BTC,SOL,LTC/BTC,BTC/SOL,SOL/LTC,9,14
TRX,LTC,LINK,TRX/LTC,LTC/LINK,LINK/TRX,8,14
BNB,TRX,LINK,BNB/TRX,TRX/LINK,LINK/BNB,7,16
BNB,ADA,AVAX,BNB/ADA,ADA/AVAX,AVAX/BNB,12,11
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,10,10
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,6,10
ETH,USDT,USDC,ETH/USDT,USDT/USDC,USDC/ETH,10,14
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,6,8
USDT,XRP,ADA,USDT/XRP,XRP/ADA,ADA/USDT,7,8
BNB,XRP,LTC,BNB/XRP,XRP/LTC,LTC/BNB,8,17
SOL,DOGE,DOT,SOL/DOGE,DOGE/DOT,DOT/SOL,11,9
BNB,XRP,TON,BNB/XRP,XRP/TON,TON/BNB,9,8
USDT,USDC,ADA,USDT/USDC,USDC/ADA,ADA/USDT,10,10
XRP,LTC,DOT,XRP/LTC,LTC/DOT,DOT/XRP,12,16
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,12,16
