base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
DOT,LINK,BNB,DOT/LINK,LINK/BNB,BNB/DOT,10,10
TON,ETH,BNB,TON/ETH,ETH/BNB,BNB/TON,6,9
USDC,DOGE,TON,USDC/DOGE,DOGE/TON,TON/USDC,10,9
SOL,TRX,LTC,SOL/TRX,TRX/LTC,LTC/SOL,10,13
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,9,10
DOGE,TRX,DOT,DOGE/TRX,TRX/DOT,DOT/DOGE,11,14
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,10,12
USDT,XRP,DOGE,USDT/XRP,XRP/DOGE,DOGE/USDT,7,16
TRX,LTC,BTC,TRX/LTC,LTC/BTC,BTC/TRX,6,11
DOGE,TRX,LTC,DOGE/TRX,TRX/LTC,LTC/DOGE,8,14
XRP,TRX,TON,XRP/TRX,TRX/TON,TON/XRP,9,10
SOL,TRX,DOT,SOL/TRX,TRX/DOT,DOT/SOL,8,10
BTC,USDC,XRP,BTC/USDC,USDC/XRP,XRP/BTC,9,12
TRX,DOT,USDC,TRX/DOT,DOT/USDC,USDC/TRX,8,17
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,9,9
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,12,17
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,11,10
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,8,12
ETH,USDT,BNB,ETH/USDT,USDT/BNB,BNB/ETH,7,15
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,11,17
BNB,XRP,ADA,BNB/XRP,XRP/ADA,ADA/BNB,8,11
USDC,DOGE,LTC,USDC/DOGE,DOGE/LTC,LTC/USDC,10,10
DOT,USDC,XRP,DOT/USDC,USDC/XRP,XRP/DOT,6,15
LINK,BNB,ADA,LINK/BNB,BNB/ADA,ADA/LINK,10,11
LINK,USDT,SOL,LINK/USDT,USDT/SOL,SOL/LINK,6,9
ETH,USDC,BNB,ETH/USDC,USDC/BNB,BNB/ETH,10,10
TON,DOT,USDC,TON/DOT,DOT/USDC,USDC/TON,6,17
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,12,10
ETH,SOL,LTC,ETH/SOL,SOL/LTC,LTC/ETH,6,12
DOT,USDT,XRP,DOT/USDT,USDT/XRP,XRP/DOT,10,8
ADA,TON,BTC,ADA/TON,TON/BTC,BTC/ADA,11,12
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,7,10
ETH,SOL,DOGE,ETH/SOL,SOL/DOGE,DOGE/ETH,6,13
DOGE,TON,DOT,DOGE/TON,TON/DOT,DOT/DOGE,7,9
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,6,13
USDC,SOL,LTC,USDC/SOL,SOL/LTC,LTC/USDC,12,10
DOGE,TRX,AVAX,DOGE/TRX,TRX/AVAX,AVAX/DOGE,11,8
SOL,LTC,BTC,SOL/LTC,LTC/BTC,BTC/SOL,8,10
AVAX,USDT,SOL,AVAX/USDT,USDT/SOL,SOL/AVAX,11,16
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,12,14
TRX,LTC,DOT,TRX/LTC,LTC/DOT,DOT/TRX,7,15
LINK,BNB,ADA,LINK/BNB,BNB/ADA,ADA/LINK,10,12
USDC,XRP,TRX,USDC/XRP,XRP/TRX,TRX/USDC,8,13
TRX,AVAX,LINK,TRX/AVAX,AVAX/LINK,LINK/TRX,11,13
TRX,LINK,USDT,TRX/LINK,LINK/USDT,USDT/TRX,7,10
BTC,USDT,SOL,BTC/USDT,USDT/SOL,SOL/BTC,5,16
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,9,9
BNB,XRP,DOGE,BNB/XRP,XRP/DOGE,DOGE/BNB,6,13
BNB,SOL,TRX,BNB/SOL,SOL/TRX,TRX/BNB,10,13
USDT,ADA,LTC,USDT/ADA,ADA/LTC,LTC/USDT,5,10
