base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
USDT,ADA,TON,USDT/ADA,ADA/TON,TON/USDT,6,15
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,10,11
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,12,8
BNB,DOGE,AVAX,BNB/DOGE,DOGE/AVAX,AVAX/BNB,8,8
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,7,10
BTC,USDC,SOL,BTC/USDC,USDC/SOL,SOL/BTC,7,15
BTC,ETH,XRP,BTC/ETH,ETH/XRP,XRP/BTC,7,9
XRP,LTC,TON,XRP/LTC,LTC/TON,TON/XRP,7,15
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,6,11
DOGE,DOT,USDC,DOGE/DOT,DOT/USDC,USDC/DOGE,8,10
SOL,XRP,ADA,SOL/XRP,XRP/ADA,ADA/SOL,6,15
ADA,TON,ETH,ADA/TON,TON/ETH,ETH/ADA,7,8
LINK,BNB,ADA,LINK/BNB,BNB/ADA,ADA/LINK,12,10
ETH,USDC,SOL,ETH/USDC,USDC/SOL,SOL/ETH,7,13
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,5,15
TON,LINK,BNB,TON/LINK,LINK/BNB,BNB/TON,5,10
USDT,XRP,DOGE,USDT/XRP,XRP/DOGE,DOGE/USDT,5,17
LTC,AVAX,LINK,LTC/AVAX,AVAX/LINK,LINK/LTC,7,9
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,8,8
USDT,SOL,TRX,USDT/SOL,SOL/TRX,TRX/USDT,12,13
ADA,TON,ETH,ADA/TON,TON/ETH,ETH/ADA,12,12
AVAX,DOT,ETH,AVAX/DOT,DOT/ETH,ETH/AVAX,5,8
BTC,SOL,TRX,BTC/SOL,SOL/TRX,TRX/BTC,7,17
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,8,17
BTC,ETH,USDT,BTC/ETH,ETH/USDT,USDT/BTC,7,16
AVAX,ETH,USDT,AVAX/ETH,ETH/USDT,USDT/AVAX,8,10
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,12,11
SOL,DOGE,LTC,SOL/DOGE,DOGE/LTC,LTC/SOL,12,11
LINK,ETH,USDC,LINK/ETH,ETH/USDC,USDC/LINK,11,9
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,8,9
XRP,ADA,DOGE,XRP/ADA,ADA/DOGE,DOGE/XRP,5,17
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,11,8
LINK,BNB,DOGE,LINK/BNB,BNB/DOGE,DOGE/LINK,6,16
TRX,AVAX,BTC,TRX/AVAX,AVAX/BTC,BTC/TRX,8,8
BNB,TRX,DOT,BNB/TRX,TRX/DOT,DOT/BNB,10,11
ADA,DOGE,AVAX,ADA/DOGE,DOGE/AVAX,AVAX/ADA,8,14
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,7,13
USDT,ADA,LTC,USDT/ADA,ADA/LTC,LTC/USDT,5,8
TON,DOT,LINK,TON/DOT,DOT/LINK,LINK/TON,6,14
DOGE,AVAX,LINK,DOGE/AVAX,AVAX/LINK,LINK/DOGE,5,16
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,6,9
BNB,XRP,TRX,BNB/XRP,XRP/TRX,TRX/BNB,10,16
LINK,BTC,SOL,LINK/BTC,BTC/SOL,SOL/LINK,7,8
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,11,16
USDC,ADA,TON,USDC/ADA,ADA/TON,TON/USDC,11,16
LTC,LINK,USDT,LTC/LINK,LINK/USDT,USDT/LTC,10,15
ADA,DOGE,AVAX,ADA/DOGE,DOGE/AVAX,AVAX/ADA,12,8
USDT,SOL,ADA,USDT/SOL,SOL/ADA,ADA/USDT,6,15
USDT,SOL,LTC,USDT/SOL,SOL/LTC,LTC/USDT,8,10
DOT,BTC,USDC,DOT/BTC,BTC/USDC,USDC/DOT,11,12
