base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
BNB,SOL,ADA,BNB/SOL,SOL/ADA,ADA/BNB,11,13
DOT,USDC,XRP,DOT/USDC,USDC/XRP,XRP/DOT,8,15
BNB,DOGE,TRX,BNB/DOGE,DOGE/TRX,TRX/BNB,5,8
SOL,ADA,LTC,SOL/ADA,ADA/LTC,LTC/SOL,6,8
ETH,USDC,DOGE,ETH/USDC,USDC/DOGE,DOGE/ETH,11,10
AVAX,ETH,USDT,AVAX/ETH,ETH/USDT,USDT/AVAX,6,8
ETH,SOL,TRX,ETH/SOL,SOL/TRX,TRX/ETH,10,15
SOL,DOGE,DOT,SOL/DOGE,DOGE/DOT,DOT/SOL,6,11
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,10,17
USDC,ADA,DOGE,USDC/ADA,ADA/DOGE,DOGE/USDC,12,15
LTC,LINK,BNB,LTC/LINK,LINK/BNB,BNB/LTC,6,8
DOGE,TRX,AVAX,DOGE/TRX,TRX/AVAX,AVAX/DOGE,9,17
SOL,ADA,DOGE,SOL/ADA,ADA/DOGE,DOGE/SOL,6,9
ADA,AVAX,BTC,ADA/AVAX,AVAX/BTC,BTC/ADA,9,10
XRP,ADA,LTC,XRP/ADA,ADA/LTC,LTC/XRP,6,14
AVAX,USDT,SOL,AVAX/USDT,USDT/SOL,SOL/AVAX,9,13
TON,ETH,BNB,TON/ETH,ETH/BNB,BNB/TON,11,10
AVAX,USDT,ADA,AVAX/USDT,USDT/ADA,ADA/AVAX,8,17
XRP,ADA,LTC,XRP/ADA,ADA/LTC,LTC/XRP,11,15
XRP,LTC,DOT,XRP/LTC,LTC/DOT,DOT/XRP,6,12
TRX,LINK,USDT,TRX/LINK,LINK/USDT,USDT/TRX,7,10
ADA,TRX,DOT,ADA/TRX,TRX/DOT,DOT/ADA,5,9
AVAX,LINK,BTC,AVAX/LINK,LINK/BTC,BTC/AVAX,9,14
LTC,AVAX,USDT,LTC/AVAX,AVAX/USDT,USDT/LTC,7,15
LINK,USDC,DOGE,LINK/USDC,USDC/DOGE,DOGE/LINK,9,14
USDC,BNB,TRX,USDC/BNB,BNB/TRX,TRX/USDC,12,10
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,7,13
DOT,ETH,USDC,DOT/ETH,ETH/USDC,USDC/DOT,6,16
SOL,TRX,LINK,SOL/TRX,TRX/LINK,LINK/SOL,9,13
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,6,14
BNB,TRX,LTC,BNB/TRX,TRX/LTC,LTC/BNB,12,17
TRX,LINK,USDC,TRX/LINK,LINK/USDC,USDC/TRX,9,17
BTC,USDC,BNB,BTC/USDC,USDC/BNB,BNB/BTC,12,13
LTC,LINK,BTC,LTC/LINK,LINK/BTC,BTC/LTC,12,11
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,7,13
TON,DOT,ETH,TON/DOT,DOT/ETH,ETH/TON,9,16
TRX,LTC,AVAX,TRX/LTC,LTC/AVAX,AVAX/TRX,6,11
BTC,USDC,XRP,BTC/USDC,USDC/XRP,XRP/BTC,7,11
BTC,USDT,USDC,BTC/USDT,USDT/USDC,USDC/BTC,11,13
TON,BTC,BNB,TON/BTC,BTC/BNB,BNB/TON,11,14
USDC,BNB,TRX,USDC/BNB,BNB/TRX,TRX/USDC,7,14
DOGE,TRX,LTC,DOGE/TRX,TRX/LTC,LTC/DOGE,5,16
BTC,SOL,DOGE,BTC/SOL,SOL/DOGE,DOGE/BTC,12,14
USDC,DOGE,LTC,USDC/DOGE,DOGE/LTC,LTC/USDC,9,17
LTC,BTC,ETH,LTC/BTC,BTC/ETH,ETH/LTC,9,15
TON,ETH,BNB,TON/ETH,ETH/BNB,BNB/TON,12,12
SOL,DOGE,TON,SOL/DOGE,DOGE/TON,TON/SOL,5,8
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,6,9
SOL,DOGE,LTC,SOL/DOGE,DOGE/LTC,LTC/SOL,8,14
AVAX,DOT,USDT,AVAX/DOT,DOT/USDT,USDT/AVAX,5,15
