base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,5,9
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,6,16
ADA,AVAX,LINK,ADA/AVAX,AVAX/LINK,LINK/ADA,5,8
USDC,ADA,LTC,USDC/ADA,ADA/LTC,LTC/USDC,8,8
LINK,USDT,BNB,LINK/USDT,USDT/BNB,BNB/LINK,8,12
LTC,LINK,ETH,LTC/LINK,LINK/ETH,ETH/LTC,11,16
USDT,SOL,DOGE,USDT/SOL,SOL/DOGE,DOGE/USDT,9,14
DOGE,TRX,DOT,DOGE/TRX,TRX/DOT,DOT/DOGE,5,15
USDT,XRP,TRX,USDT/XRP,XRP/TRX,TRX/USDT,7,15
USDT,XRP,LTC,USDT/XRP,XRP/LTC,LTC/USDT,6,9
USDT,ADA,TRX,USDT/ADA,ADA/TRX,TRX/USDT,5,8
ADA,AVAX,LINK,ADA/AVAX,AVAX/LINK,LINK/ADA,10,13
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,6,14
LTC,BTC,ETH,LTC/BTC,BTC/ETH,ETH/LTC,5,11
BTC,USDC,DOGE,BTC/USDC,USDC/DOGE,DOGE/BTC,10,15
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,8,13
DOT,ETH,SOL,DOT/ETH,ETH/SOL,SOL/DOT,8,11
LINK,BTC,SOL,LINK/BTC,BTC/SOL,SOL/LINK,12,12
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,5,11
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,8,14
DOT,USDC,BNB,DOT/USDC,USDC/BNB,BNB/DOT,6,12
USDT,BNB,TRX,USDT/BNB,BNB/TRX,TRX/USDT,9,15
TRX,AVAX,DOT,TRX/AVAX,AVAX/DOT,DOT/TRX,7,13
TRX,DOT,ETH,TRX/DOT,DOT/ETH,ETH/TRX,8,14
USDT,ADA,LTC,USDT/ADA,ADA/LTC,LTC/USDT,8,9
XRP,ADA,DOGE,XRP/ADA,ADA/DOGE,DOGE/XRP,7,11
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,10,8
DOT,BTC,BNB,DOT/BTC,BTC/BNB,BNB/DOT,6,13
BTC,BNB,TRX,BTC/BNB,BNB/TRX,TRX/BTC,5,14
LTC,DOT,BTC,LTC/DOT,DOT/BTC,BTC/LTC,5,17
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,7,16
SOL,DOGE,AVAX,SOL/DOGE,DOGE/AVAX,AVAX/SOL,8,13
LTC,TON,AVAX,LTC/TON,TON/AVAX,AVAX/LTC,11,15
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,5,14
TRX,LINK,BNB,TRX/LINK,LINK/BNB,BNB/TRX,8,13
USDC,BNB,DOGE,USDC/BNB,BNB/DOGE,DOGE/USDC,10,11
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,6,16
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,5,13
BNB,TRX,AVAX,BNB/TRX,TRX/AVAX,AVAX/BNB,9,13
SOL,ADA,LTC,SOL/ADA,ADA/LTC,LTC/SOL,6,16
SOL,LTC,BTC,SOL/LTC,LTC/BTC,BTC/SOL,9,13
ETH,SOL,TRX,ETH/SOL,SOL/TRX,TRX/ETH,6,17
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,5,12
LTC,AVAX,DOT,LTC/AVAX,AVAX/DOT,DOT/LTC,9,14
USDT,BNB,SOL,USDT/BNB,BNB/SOL,SOL/USDT,5,10
TON,BTC,USDT,TON/BTC,BTC/USDT,USDT/TON,6,12
TRX,LINK,ETH,TRX/LINK,LINK/ETH,ETH/TRX,10,16
BNB,XRP,LTC,BNB/XRP,XRP/LTC,LTC/BNB,9,17
TRX,DOT,ETH,TRX/DOT,DOT/ETH,ETH/TRX,5,9
BNB,ADA,TON,BNB/ADA,ADA/TON,TON/BNB,6,15
