base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
LINK,BNB,XRP,LINK/BNB,BNB/XRP,XRP/LINK,6,15
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,7,11
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,6,11
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,11,12
BTC,USDT,SOL,BTC/USDT,USDT/SOL,SOL/BTC,11,8
LTC,TON,BTC,LTC/TON,TON/BTC,BTC/LTC,12,16
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,9,8
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,7,11
TON,LINK,ETH,TON/LINK,LINK/ETH,ETH/TON,12,16
DOT,BTC,ETH,DOT/BTC,BTC/ETH,ETH/DOT,5,12
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,7,9
XRP,ADA,TRX,XRP/ADA,ADA/TRX,TRX/XRP,10,9
USDT,ADA,AVAX,USDT/ADA,ADA/AVAX,AVAX/USDT,8,13
TRX,DOT,LINK,TRX/DOT,DOT/LINK,LINK/TRX,6,15
LTC,TON,DOT,LTC/TON,TON/DOT,DOT/LTC,7,8
TON,LINK,ETH,TON/LINK,LINK/ETH,ETH/TON,5,17
TRX,AVAX,USDT,TRX/AVAX,AVAX/USDT,USDT/TRX,7,15
USDC,ADA,AVAX,USDC/ADA,ADA/AVAX,AVAX/USDC,9,8
XRP,TRX,AVAX,XRP/TRX,TRX/AVAX,AVAX/XRP,8,10
DOGE,TRX,LTC,DOGE/TRX,TRX/LTC,LTC/DOGE,5,17
DOGE,TON,DOT,DOGE/TON,TON/DOT,DOT/DOGE,11,16
USDC,SOL,TRX,USDC/SOL,SOL/TRX,TRX/USDC,8,14
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,9,9
AVAX,ETH,USDT,AVAX/ETH,ETH/USDT,USDT/AVAX,7,16
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,9,10
TRX,LINK,BTC,TRX/LINK,LINK/BTC,BTC/TRX,6,14
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,10,9
DOGE,TRX,LTC,DOGE/TRX,TRX/LTC,LTC/DOGE,10,8
TON,AVAX,ETH,TON/AVAX,AVAX/ETH,ETH/TON,12,12
AVAX,BTC,SOL,AVAX/BTC,BTC/SOL,SOL/AVAX,5,14
AVAX,USDT,USDC,AVAX/USDT,USDT/USDC,USDC/AVAX,6,8
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,9,11
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,12,16
USDC,ADA,DOGE,USDC/ADA,ADA/DOGE,DOGE/USDC,6,9
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,6,11
BTC,BNB,SOL,BTC/BNB,BNB/SOL,SOL/BTC,5,11
DOT,LINK,BNB,DOT/LINK,LINK/BNB,BNB/DOT,9,10
DOT,USDT,SOL,DOT/USDT,USDT/SOL,SOL/DOT,11,15
AVAX,ETH,BNB,AVAX/ETH,ETH/BNB,BNB/AVAX,5,13
USDC,XRP,TON,USDC/XRP,XRP/TON,TON/USDC,12,9
AVAX,BTC,USDC,AVAX/BTC,BTC/USDC,USDC/AVAX,11,12
BTC,BNB,TRX,BTC/BNB,BNB/TRX,TRX/BTC,12,16
XRP,TON,DOT,XRP/TON,TON/DOT,DOT/XRP,5,16
USDC,DOGE,TRX,USDC/DOGE,DOGE/TRX,TRX/USDC,5,14
USDC,BNB,ADA,USDC/BNB,BNB/ADA,ADA/USDC,6,13
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,12,17
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,5,14
SOL,DOGE,LTC,SOL/DOGE,DOGE/LTC,LTC/SOL,7,16
BNB,TRX,LINK,BNB/TRX,TRX/LINK,LINK/BNB,6,15
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,9,17
