base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ETH,XRP,TON,ETH/XRP,XRP/TON,TON/ETH,10,9
BTC,BNB,TRX,BTC/BNB,BNB/TRX,TRX/BTC,6,17
ETH,SOL,DOGE,ETH/SOL,SOL/DOGE,DOGE/ETH,12,16
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,10,11
TRX,LINK,USDT,TRX/LINK,LINK/USDT,USDT/TRX,6,13
LTC,BTC,USDC,LTC/BTC,BTC/USDC,USDC/LTC,11,16
USDT,SOL,LTC,USDT/SOL,SOL/LTC,LTC/USDT,7,8
BTC,SOL,XRP,BTC/SOL,SOL/XRP,XRP/BTC,8,13
BNB,ADA,TRX,BNB/ADA,ADA/TRX,TRX/BNB,8,8
USDT,SOL,LTC,USDT/SOL,SOL/LTC,LTC/USDT,6,16
AVAX,LINK,USDT,AVAX/LINK,LINK/USDT,USDT/AVAX,9,9
USDT,USDC,SOL,USDT/USDC,USDC/SOL,SOL/USDT,9,13
AVAX,BTC,BNB,AVAX/BTC,BTC/BNB,BNB/AVAX,6,14
DOGE,LTC,DOT,DOGE/LTC,LTC/DOT,DOT/DOGE,11,13
AVAX,ETH,USDC,AVAX/ETH,ETH/USDC,USDC/AVAX,9,13
DOT,LINK,BNB,DOT/LINK,LINK/BNB,BNB/DOT,8,12
DOT,USDC,XRP,DOT/USDC,USDC/XRP,XRP/DOT,11,9
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,5,16
DOGE,DOT,LINK,DOGE/DOT,DOT/LINK,LINK/DOGE,5,11
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,8,9
ETH,BNB,XRP,ETH/BNB,BNB/XRP,XRP/ETH,12,9
BTC,ETH,SOL,BTC/ETH,ETH/SOL,SOL/BTC,9,9
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,7,16
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,7,14
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,9,12
BNB,SOL,TRX,BNB/SOL,SOL/TRX,TRX/BNB,10,12
XRP,TON,AVAX,XRP/TON,TON/AVAX,AVAX/XRP,12,8
ETH,BNB,TRX,ETH/BNB,BNB/TRX,TRX/ETH,11,10
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,5,17
ADA,AVAX,USDT,ADA/AVAX,AVAX/USDT,USDT/ADA,10,14
BNB,XRP,LTC,BNB/XRP,XRP/LTC,LTC/BNB,10,16
SOL,ADA,DOGE,SOL/ADA,ADA/DOGE,DOGE/SOL,12,14
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,5,15
SOL,ADA,DOGE,SOL/ADA,ADA/DOGE,DOGE/SOL,6,13
AVAX,USDT,USDC,AVAX/USDT,USDT/USDC,USDC/AVAX,8,13
USDC,SOL,ADA,USDC/SOL,SOL/ADA,ADA/USDC,12,16
SOL,TRX,LTC,SOL/TRX,TRX/LTC,LTC/SOL,8,10
USDC,BNB,XRP,USDC/BNB,BNB/XRP,XRP/USDC,7,12
ADA,AVAX,BTC,ADA/AVAX,AVAX/BTC,BTC/ADA,11,15
LTC,DOT,USDC,LTC/DOT,DOT/USDC,USDC/LTC,9,13
DOT,LINK,BTC,DOT/LINK,LINK/BTC,BTC/DOT,11,15
USDC,SOL,DOGE,USDC/SOL,SOL/DOGE,DOGE/USDC,8,15
ETH,SOL,TRX,ETH/SOL,SOL/TRX,TRX/ETH,5,13
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,7,11
LTC,BTC,ETH,LTC/BTC,BTC/ETH,ETH/LTC,10,17
ETH,USDC,XRP,ETH/USDC,USDC/XRP,XRP/ETH,11,8
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,12,17
XRP,ADA,LTC,XRP/ADA,ADA/LTC,LTC/XRP,7,15
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,6,8
AVAX,LINK,USDC,AVAX/LINK,LINK/USDC,USDC/AVAX,11,13
