base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ADA,TRX,TON,ADA/TRX,TRX/TON,TON/ADA,10,10
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,11,17
USDT,BNB,DOGE,USDT/BNB,BNB/DOGE,DOGE/USDT,11,12
DOT,USDC,DOGE,DOT/USDC,USDC/DOGE,DOGE/DOT,11,13
USDC,DOGE,TON,USDC/DOGE,DOGE/TON,TON/USDC,11,8
LINK,BNB,ADA,LINK/BNB,BNB/ADA,ADA/LINK,6,15
XRP,LTC,AVAX,XRP/LTC,LTC/AVAX,AVAX/XRP,5,17
AVAX,BTC,SOL,AVAX/BTC,BTC/SOL,SOL/AVAX,6,16
ETH,SOL,LTC,ETH/SOL,SOL/LTC,LTC/ETH,11,10
BTC,ETH,USDT,BTC/ETH,ETH/USDT,USDT/BTC,9,17
DOT,BTC,SOL,DOT/BTC,BTC/SOL,SOL/DOT,7,14
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,12,12
LINK,BNB,DOGE,LINK/BNB,BNB/DOGE,DOGE/LINK,5,11
ADA,DOGE,TON,ADA/DOGE,DOGE/TON,TON/ADA,6,8
USDT,BNB,SOL,USDT/BNB,BNB/SOL,SOL/USDT,11,13
BNB,ADA,DOGE,BNB/ADA,ADA/DOGE,DOGE/BNB,6,15
DOT,USDC,ADA,DOT/USDC,USDC/ADA,ADA/DOT,5,14
LTC,LINK,USDC,LTC/LINK,LINK/USDC,USDC/LTC,12,11
TRX,LINK,BTC,TRX/LINK,LINK/BTC,BTC/TRX,9,11
BTC,SOL,XRP,BTC/SOL,SOL/XRP,XRP/BTC,8,11
USDT,ADA,DOGE,USDT/ADA,ADA/DOGE,DOGE/USDT,7,11
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,8,14
SOL,ADA,LTC,SOL/ADA,ADA/LTC,LTC/SOL,5,10
USDC,SOL,XRP,USDC/SOL,SOL/XRP,XRP/USDC,10,17
BNB,DOGE,TON,BNB/DOGE,DOGE/TON,TON/BNB,8,12
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,8,12
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,7,15
USDT,XRP,ADA,USDT/XRP,XRP/ADA,ADA/USDT,7,15
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,6,14
TON,BTC,SOL,TON/BTC,BTC/SOL,SOL/TON,10,15
AVAX,DOT,USDT,AVAX/DOT,DOT/USDT,USDT/AVAX,9,17
USDC,ADA,AVAX,USDC/ADA,ADA/AVAX,AVAX/USDC,7,11
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,9,10
LTC,DOT,USDT,LTC/DOT,DOT/USDT,USDT/LTC,7,16
DOGE,DOT,BTC,DOGE/DOT,DOT/BTC,BTC/DOGE,7,13
XRP,ADA,AVAX,XRP/ADA,ADA/AVAX,AVAX/XRP,6,10
ETH,SOL,ADA,ETH/SOL,SOL/ADA,ADA/ETH,6,15
USDT,SOL,ADA,USDT/SOL,SOL/ADA,ADA/USDT,10,10
ETH,SOL,LTC,ETH/SOL,SOL/LTC,LTC/ETH,8,10
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,9,12
LTC,DOT,LINK,LTC/DOT,DOT/LINK,LINK/LTC,8,17
TON,AVAX,DOT,TON/AVAX,AVAX/DOT,DOT/TON,6,11
USDT,SOL,LTC,USDT/SOL,SOL/LTC,LTC/USDT,7,13
LTC,BTC,SOL,LTC/BTC,BTC/SOL,SOL/LTC,5,9
USDC,BNB,ADA,USDC/BNB,BNB/ADA,ADA/USDC,6,13
TON,AVAX,LINK,TON/AVAX,AVAX/LINK,LINK/TON,11,9
ADA,TRX,TON,ADA/TRX,TRX/TON,TON/ADA,9,13
SOL,XRP,TRX,SOL/XRP,XRP/TRX,TRX/SOL,6,13
XRP,DOGE,TON,XRP/DOGE,DOGE/TON,TON/XRP,11,9
USDC,SOL,DOGE,USDC/SOL,SOL/DOGE,DOGE/USDC,7,15
