base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ETH,USDT,ADA,ETH/USDT,USDT/ADA,ADA/ETH,12,15
BNB,ADA,DOGE,BNB/ADA,ADA/DOGE,DOGE/BNB,9,10
USDT,BNB,DOGE,USDT/BNB,BNB/DOGE,DOGE/USDT,10,13
TON,ETH,SOL,TON/ETH,ETH/SOL,SOL/TON,8,12
LINK,ETH,USDC,LINK/ETH,ETH/USDC,USDC/LINK,12,14
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,9,9
XRP,TON,AVAX,XRP/TON,TON/AVAX,AVAX/XRP,12,17
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,5,15
XRP,LTC,DOT,XRP/LTC,LTC/DOT,DOT/XRP,10,10
BTC,ETH,BNB,BTC/ETH,ETH/BNB,BNB/BTC,10,10
BNB,SOL,LTC,BNB/SOL,SOL/LTC,LTC/BNB,12,15
DOT,LINK,ETH,DOT/LINK,LINK/ETH,ETH/DOT,10,12
USDC,XRP,TRX,USDC/XRP,XRP/TRX,TRX/USDC,6,12
SOL,XRP,ADA,SOL/XRP,XRP/ADA,ADA/SOL,5,15
BNB,ADA,TON,BNB/ADA,ADA/TON,TON/BNB,6,13
DOGE,DOT,LINK,DOGE/DOT,DOT/LINK,LINK/DOGE,8,12
BNB,DOGE,AVAX,BNB/DOGE,DOGE/AVAX,AVAX/BNB,7,12
TON,AVAX,ETH,TON/AVAX,AVAX/ETH,ETH/TON,9,11
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,7,12
USDT,XRP,TRX,USDT/XRP,XRP/TRX,TRX/USDT,8,15
TON,LINK,USDC,TON/LINK,LINK/USDC,USDC/TON,9,11
SOL,ADA,AVAX,SOL/ADA,ADA/AVAX,AVAX/SOL,8,11
DOGE,DOT,USDT,DOGE/DOT,DOT/USDT,USDT/DOGE,10,8
TRX,LINK,BTC,TRX/LINK,LINK/BTC,BTC/TRX,11,8
SOL,ADA,AVAX,SOL/ADA,ADA/AVAX,AVAX/SOL,10,13
DOT,LINK,USDC,DOT/LINK,LINK/USDC,USDC/DOT,6,13
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,9,17
BTC,BNB,SOL,BTC/BNB,BNB/SOL,SOL/BTC,8,9
AVAX,DOT,ETH,AVAX/DOT,DOT/ETH,ETH/AVAX,7,8
SOL,DOGE,DOT,SOL/DOGE,DOGE/DOT,DOT/SOL,9,8
LTC,AVAX,ETH,LTC/AVAX,AVAX/ETH,ETH/LTC,11,15
SOL,DOGE,DOT,SOL/DOGE,DOGE/DOT,DOT/SOL,8,8
DOT,ETH,XRP,DOT/ETH,ETH/XRP,XRP/DOT,10,11
USDC,SOL,TRX,USDC/SOL,SOL/TRX,TRX/USDC,8,8
LINK,USDT,SOL,LINK/USDT,USDT/SOL,SOL/LINK,8,16
BTC,USDC,SOL,BTC/USDC,USDC/SOL,SOL/BTC,9,12
LTC,BTC,USDC,LTC/BTC,BTC/USDC,USDC/LTC,8,9
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,12,15
LTC,TON,DOT,LTC/TON,TON/DOT,DOT/LTC,6,16
TRX,TON,AVAX,TRX/TON,TON/AVAX,AVAX/TRX,5,14
BNB,ADA,TRX,BNB/ADA,ADA/TRX,TRX/BNB,12,13
DOT,USDT,XRP,DOT/USDT,USDT/XRP,XRP/DOT,7,9
DOT,USDC,SOL,DOT/USDC,USDC/SOL,SOL/DOT,9,16
ETH,USDC,DOGE,ETH/USDC,USDC/DOGE,DOGE/ETH,9,14
DOT,USDT,SOL,DOT/USDT,USDT/SOL,SOL/DOT,6,16
ETH,USDT,BNB,ETH/USDT,USDT/BNB,BNB/ETH,6,15
ETH,BNB,DOGE,ETH/BNB,BNB/DOGE,DOGE/ETH,5,15
USDT,SOL,LTC,USDT/SOL,SOL/LTC,LTC/USDT,5,8
AVAX,BTC,SOL,AVAX/BTC,BTC/SOL,SOL/AVAX,10,15
XRP,LTC,TON,XRP/LTC,LTC/TON,TON/XRP,8,10
