base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
DOT,ETH,SOL,DOT/ETH,ETH/SOL,SOL/DOT,5,17
ADA,LTC,TON,ADA/LTC,LTC/TON,TON/ADA,10,16
USDT,SOL,XRP,USDT/SOL,SOL/XRP,XRP/USDT,7,17
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,5,17
LINK,USDT,SOL,LINK/USDT,USDT/SOL,SOL/LINK,9,14
BNB,XRP,ADA,BNB/XRP,XRP/ADA,ADA/BNB,5,15
XRP,ADA,LTC,XRP/ADA,ADA/LTC,LTC/XRP,10,17
ADA,TON,BTC,ADA/TON,TON/BTC,BTC/ADA,7,13
ADA,TRX,DOT,ADA/TRX,TRX/DOT,DOT/ADA,11,12
DOGE,DOT,ETH,DOGE/DOT,DOT/ETH,ETH/DOGE,8,13
LTC,TON,BTC,LTC/TON,TON/BTC,BTC/LTC,11,12
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,12,16
TRX,AVAX,BTC,TRX/AVAX,AVAX/BTC,BTC/TRX,11,10
TRX,LTC,DOT,TRX/LTC,LTC/DOT,DOT/TRX,6,14
LINK,ETH,BNB,LINK/ETH,ETH/BNB,BNB/LINK,9,14
ETH,USDC,XRP,ETH/USDC,USDC/XRP,XRP/ETH,6,10
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,7,17
TON,LINK,BNB,TON/LINK,LINK/BNB,BNB/TON,5,10
LINK,BTC,BNB,LINK/BTC,BTC/BNB,BNB/LINK,10,8
LTC,TON,AVAX,LTC/TON,TON/AVAX,AVAX/LTC,7,17
BTC,USDC,DOGE,BTC/USDC,USDC/DOGE,DOGE/BTC,8,16
XRP,DOGE,TRX,XRP/DOGE,DOGE/TRX,TRX/XRP,11,15
TRX,TON,DOT,TRX/TON,TON/DOT,DOT/TRX,11,12
LTC,LINK,USDT,LTC/LINK,LINK/USDT,USDT/LTC,7,9
AVAX,DOT,LINK,AVAX/DOT,DOT/LINK,LINK/AVAX,12,15
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,7,16
TRX,TON,LINK,TRX/TON,TON/LINK,LINK/TRX,10,13
ETH,USDT,ADA,ETH/USDT,USDT/ADA,ADA/ETH,7,13
USDT,ADA,TRX,USDT/ADA,ADA/TRX,TRX/USDT,6,10
USDT,XRP,ADA,USDT/XRP,XRP/ADA,ADA/USDT,6,14
XRP,TRX,LTC,XRP/TRX,TRX/LTC,LTC/XRP,9,10
LINK,USDC,XRP,LINK/USDC,USDC/XRP,XRP/LINK,8,16
TRX,LTC,DOT,TRX/LTC,LTC/DOT,DOT/TRX,5,9
TRX,LINK,USDT,TRX/LINK,LINK/USDT,USDT/TRX,8,11
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,9,11
LINK,ETH,XRP,LINK/ETH,ETH/XRP,XRP/LINK,9,14
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,7,8
ADA,TRX,AVAX,ADA/TRX,TRX/AVAX,AVAX/ADA,6,15
SOL,TRX,AVAX,SOL/TRX,TRX/AVAX,AVAX/SOL,10,17
USDT,USDC,XRP,USDT/USDC,USDC/XRP,XRP/USDT,10,11
DOGE,DOT,ETH,DOGE/DOT,DOT/ETH,ETH/DOGE,12,13
TON,LINK,BTC,TON/LINK,LINK/BTC,BTC/TON,6,13
USDC,XRP,DOGE,USDC/XRP,XRP/DOGE,DOGE/USDC,5,14
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,12,13
TRX,TON,AVAX,TRX/TON,TON/AVAX,AVAX/TRX,10,15
DOGE,TON,LINK,DOGE/TON,TON/LINK,LINK/DOGE,8,17
LTC,TON,DOT,LTC/TON,TON/DOT,DOT/LTC,6,16
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,5,16
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,5,14
SOL,ADA,DOGE,SOL/ADA,ADA/DOGE,DOGE/SOL,8,14
