base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
LTC,TON,LINK,LTC/TON,TON/LINK,LINK/LTC,6,13
TRX,LTC,AVAX,TRX/LTC,LTC/AVAX,AVAX/TRX,10,10
ADA,TON,LINK,ADA/TON,TON/LINK,LINK/ADA,6,13
BTC,BNB,XRP,BTC/BNB,BNB/XRP,XRP/BTC,5,16
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,6,8
DOT,USDT,ADA,DOT/USDT,USDT/ADA,ADA/DOT,12,11
TON,LINK,USDT,TON/LINK,LINK/USDT,USDT/TON,12,10
DOGE,TON,BTC,DOGE/TON,TON/BTC,BTC/DOGE,5,11
XRP,TRX,AVAX,XRP/TRX,TRX/AVAX,AVAX/XRP,9,9
BNB,DOGE,AVAX,BNB/DOGE,DOGE/AVAX,AVAX/BNB,7,17
BTC,SOL,XRP,BTC/SOL,SOL/XRP,XRP/BTC,12,8
DOGE,AVAX,LINK,DOGE/AVAX,AVAX/LINK,LINK/DOGE,10,16
DOT,BTC,USDC,DOT/BTC,BTC/USDC,USDC/DOT,5,15
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,10,10
USDT,XRP,TRX,USDT/XRP,XRP/TRX,TRX/USDT,11,9
ETH,USDT,USDC,ETH/USDT,USDT/USDC,USDC/ETH,6,17
BTC,USDC,DOGE,BTC/USDC,USDC/DOGE,DOGE/BTC,5,12
TRX,LTC,AVAX,TRX/LTC,LTC/AVAX,AVAX/TRX,11,9
SOL,ADA,TON,SOL/ADA,ADA/TON,TON/SOL,5,14
AVAX,DOT,USDC,AVAX/DOT,DOT/USDC,USDC/AVAX,6,10
SOL,ADA,LTC,SOL/ADA,ADA/LTC,LTC/SOL,12,11
AVAX,LINK,BTC,AVAX/LINK,LINK/BTC,BTC/AVAX,8,16
XRP,LTC,TON,XRP/LTC,LTC/TON,TON/XRP,7,17
USDC,XRP,ADA,USDC/XRP,XRP/ADA,ADA/USDC,5,15
SOL,TRX,AVAX,SOL/TRX,TRX/AVAX,AVAX/SOL,10,8
LINK,ETH,USDT,LINK/ETH,ETH/USDT,USDT/LINK,6,9
ADA,AVAX,DOT,ADA/AVAX,AVAX/DOT,DOT/ADA,8,12
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,5,16
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,8,17
BTC,SOL,ADA,BTC/SOL,SOL/ADA,ADA/BTC,11,11
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,6,17
SOL,XRP,LTC,SOL/XRP,XRP/LTC,LTC/SOL,11,8
DOT,LINK,ETH,DOT/LINK,LINK/ETH,ETH/DOT,12,16
USDC,XRP,LTC,USDC/XRP,XRP/LTC,LTC/USDC,5,14
TRX,LINK,BNB,TRX/LINK,LINK/BNB,BNB/TRX,8,17
DOT,BTC,USDT,DOT/BTC,BTC/USDT,USDT/DOT,5,8
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,12,8
DOGE,LTC,AVAX,DOGE/LTC,LTC/AVAX,AVAX/DOGE,7,13
TON,AVAX,USDT,TON/AVAX,AVAX/USDT,USDT/TON,7,10
ADA,TRX,LTC,ADA/TRX,TRX/LTC,LTC/ADA,6,15
LINK,USDC,ADA,LINK/USDC,USDC/ADA,ADA/LINK,11,9
ADA,LTC,DOT,ADA/LTC,LTC/DOT,DOT/ADA,7,16
BNB,DOGE,DOT,BNB/DOGE,DOGE/DOT,DOT/BNB,11,16
ADA,TON,ETH,ADA/TON,TON/ETH,ETH/ADA,11,13
ADA,AVAX,ETH,ADA/AVAX,AVAX/ETH,ETH/ADA,5,17
DOGE,TRX,TON,DOGE/TRX,TRX/TON,TON/DOGE,10,12
TON,BTC,SOL,TON/BTC,BTC/SOL,SOL/TON,8,9
SOL,ADA,TON,SOL/ADA,ADA/TON,TON/SOL,6,12
ADA,TRX,DOT,ADA/TRX,TRX/DOT,DOT/ADA,11,9
DOT,ETH,USDC,DOT/ETH,ETH/USDC,USDC/DOT,11,17
