base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
BTC,ETH,USDC,BTC/ETH,ETH/USDC,USDC/BTC,9,16
AVAX,DOT,BTC,AVAX/DOT,DOT/BTC,BTC/AVAX,5,11
SOL,LTC,BTC,SOL/LTC,LTC/BTC,BTC/SOL,8,10
DOGE,TON,BTC,DOGE/TON,TON/BTC,BTC/DOGE,8,17
SOL,LTC,LINK,SOL/LTC,LTC/LINK,LINK/SOL,9,10
SOL,ADA,TRX,SOL/ADA,ADA/TRX,TRX/SOL,11,17
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,12,15
TON,AVAX,ETH,TON/AVAX,AVAX/ETH,ETH/TON,9,13
DOGE,AVAX,LINK,DOGE/AVAX,AVAX/LINK,LINK/DOGE,5,10
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,8,11
SOL,TRX,LTC,SOL/TRX,TRX/LTC,LTC/SOL,5,13
ETH,SOL,ADA,ETH/SOL,SOL/ADA,ADA/ETH,8,15
ADA,DOGE,TRX,ADA/DOGE,DOGE/TRX,TRX/ADA,10,10
ADA,AVAX,ETH,ADA/AVAX,AVAX/ETH,ETH/ADA,11,13
SOL,TRX,LINK,SOL/TRX,TRX/LINK,LINK/SOL,8,17
ADA,AVAX,ETH,ADA/AVAX,AVAX/ETH,ETH/ADA,8,16
TON,ETH,XRP,TON/ETH,ETH/XRP,XRP/TON,8,16
XRP,TRX,TON,XRP/TRX,TRX/TON,TON/XRP,7,15
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,11,9
LINK,BNB,SOL,LINK/BNB,BNB/SOL,SOL/LINK,11,14
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,12,16
LINK,USDT,SOL,LINK/USDT,USDT/SOL,SOL/LINK,9,15
XRP,DOGE,AVAX,XRP/DOGE,DOGE/AVAX,AVAX/XRP,12,15
DOGE,AVAX,DOT,DOGE/AVAX,AVAX/DOT,DOT/DOGE,8,13
BNB,ADA,TRX,BNB/ADA,ADA/TRX,TRX/BNB,12,10
ETH,SOL,XRP,ETH/SOL,SOL/XRP,XRP/ETH,12,13
BNB,DOGE,DOT,BNB/DOGE,DOGE/DOT,DOT/BNB,11,14
TON,ETH,USDC,TON/ETH,ETH/USDC,USDC/TON,5,17
USDC,ADA,TON,USDC/ADA,ADA/TON,TON/USDC,8,17
XRP,LTC,LINK,XRP/LTC,LTC/LINK,LINK/XRP,5,15
AVAX,ETH,USDT,AVAX/ETH,ETH/USDT,USDT/AVAX,6,10
USDC,ADA,AVAX,USDC/ADA,ADA/AVAX,AVAX/USDC,5,17
ADA,LTC,TON,ADA/LTC,LTC/TON,TON/ADA,5,17
ADA,LTC,BTC,ADA/LTC,LTC/BTC,BTC/ADA,5,15
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,9,10
TRX,AVAX,ETH,TRX/AVAX,AVAX/ETH,ETH/TRX,9,12
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,9,16
LINK,BNB,ADA,LINK/BNB,BNB/ADA,ADA/LINK,11,14
USDT,ADA,AVAX,USDT/ADA,ADA/AVAX,AVAX/USDT,10,11
XRP,TRX,DOT,XRP/TRX,TRX/DOT,DOT/XRP,7,11
BNB,ADA,DOGE,BNB/ADA,ADA/DOGE,DOGE/BNB,6,14
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,6,10
BTC,BNB,ADA,BTC/BNB,BNB/ADA,ADA/BTC,6,10
BTC,USDT,BNB,BTC/USDT,USDT/BNB,BNB/BTC,12,16
DOT,ETH,SOL,DOT/ETH,ETH/SOL,SOL/DOT,8,9
BTC,USDT,USDC,BTC/USDT,USDT/USDC,USDC/BTC,11,8
DOT,USDC,XRP,DOT/USDC,USDC/XRP,XRP/DOT,6,17
USDC,SOL,TRX,USDC/SOL,SOL/TRX,TRX/USDC,9,16
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,6,16
LTC,DOT,USDC,LTC/DOT,DOT/USDC,USDC/LTC,11,9
