base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
ETH,USDT,XRP,ETH/USDT,USDT/XRP,XRP/ETH,9,13
ADA,AVAX,DOT,ADA/AVAX,AVAX/DOT,DOT/ADA,10,13
DOGE,LTC,TON,DOGE/LTC,LTC/TON,TON/DOGE,11,14
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,11,17
ADA,TRX,LINK,ADA/TRX,TRX/LINK,LINK/ADA,11,17
DOT,LINK,USDC,DOT/LINK,LINK/USDC,USDC/DOT,11,10
BTC,USDT,USDC,BTC/USDT,USDT/USDC,USDC/BTC,8,10
TON,LINK,USDC,TON/LINK,LINK/USDC,USDC/TON,7,12
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,9,17
XRP,TON,BTC,XRP/TON,TON/BTC,BTC/XRP,8,10
AVAX,USDT,XRP,AVAX/USDT,USDT/XRP,XRP/AVAX,5,9
DOGE,DOT,LINK,DOGE/DOT,DOT/LINK,LINK/DOGE,8,14
AVAX,ETH,USDC,AVAX/ETH,ETH/USDC,USDC/AVAX,7,9
BTC,ETH,SOL,BTC/ETH,ETH/SOL,SOL/BTC,7,14
USDT,USDC,BNB,USDT/USDC,USDC/BNB,BNB/USDT,9,15
USDT,XRP,DOGE,USDT/XRP,XRP/DOGE,DOGE/USDT,9,14
USDC,DOGE,AVAX,USDC/DOGE,DOGE/AVAX,AVAX/USDC,8,12
LINK,USDT,XRP,LINK/USDT,USDT/XRP,XRP/LINK,8,13
USDT,BNB,TRX,USDT/BNB,BNB/TRX,TRX/USDT,7,10
TRX,DOT,ETH,TRX/DOT,DOT/ETH,ETH/TRX,8,17
LINK,ETH,BNB,LINK/ETH,ETH/BNB,BNB/LINK,9,16
BNB,TRX,DOT,BNB/TRX,TRX/DOT,DOT/BNB,7,10
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,11,11
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,8,16
XRP,TON,ETH,XRP/TON,TON/ETH,ETH/XRP,9,13
TON,DOT,BTC,TON/DOT,DOT/BTC,BTC/TON,5,16
DOT,LINK,BNB,DOT/LINK,LINK/BNB,BNB/DOT,5,8
AVAX,USDT,USDC,AVAX/USDT,USDT/USDC,USDC/AVAX,7,10
BNB,DOGE,LTC,BNB/DOGE,DOGE/LTC,LTC/BNB,5,14
SOL,LTC,DOT,SOL/LTC,LTC/DOT,DOT/SOL,11,9
SOL,XRP,DOGE,SOL/XRP,XRP/DOGE,DOGE/SOL,6,14
ETH,BNB,TRX,ETH/BNB,BNB/TRX,TRX/ETH,7,8
DOGE,DOT,BTC,DOGE/DOT,DOT/BTC,BTC/DOGE,6,12
TRX,LTC,DOT,TRX/LTC,LTC/DOT,DOT/TRX,5,11
BNB,DOGE,DOT,BNB/DOGE,DOGE/DOT,DOT/BNB,7,13
BNB,XRP,TRX,BNB/XRP,XRP/TRX,TRX/BNB,6,12
BTC,ETH,BNB,BTC/ETH,ETH/BNB,BNB/BTC,10,9
USDT,USDC,BNB,USDT/USDC,USDC/BNB,BNB/USDT,6,15
TON,AVAX,USDT,TON/AVAX,AVAX/USDT,USDT/TON,10,13
BTC,USDC,SOL,BTC/USDC,USDC/SOL,SOL/BTC,5,15
LINK,BTC,USDT,LINK/BTC,BTC/USDT,USDT/LINK,11,16
SOL,DOGE,LTC,SOL/DOGE,DOGE/LTC,LTC/SOL,8,14
ETH,USDT,ADA,ETH/USDT,USDT/ADA,ADA/ETH,8,10
TON,LINK,BNB,TON/LINK,LINK/BNB,BNB/TON,10,8
DOT,BTC,SOL,DOT/BTC,BTC/SOL,SOL/DOT,10,13
ETH,XRP,LTC,ETH/XRP,XRP/LTC,LTC/ETH,8,10
TRX,DOT,USDC,TRX/DOT,DOT/USDC,USDC/TRX,8,17
LTC,DOT,LINK,LTC/DOT,DOT/LINK,LINK/LTC,12,11
USDT,BNB,DOGE,USDT/BNB,BNB/DOGE,DOGE/USDT,9,14
ETH,USDT,SOL,ETH/USDT,USDT/SOL,SOL/ETH,11,14
